group,sample_n,a_share,avg_ret_t1,med_ret_t1,win_t1,avg_ret_t2,med_ret_t2,win_t2
freeze1_original_top30pct,703,0.23044096728307253,0.002311424743435496,-0.004301075268817289,0.45803698435277385,0.001342413676336589,-0.00578325370882582,0.4466571834992888
tune21_top3,354,0.24293785310734464,0.004190198243021785,-0.003294621069786452,0.4661016949152542,0.006497407383905878,-0.003509581727403399,0.4604519774011299
reference_top2,236,0.2457627118644068,0.005104684639697183,-0.0027677290941327537,0.4703389830508475,0.0103895454656908,-5.484861781479555e-05,0.4957627118644068
