scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,win_t2,A3_recall_rate,A5_recall_rate
C2A+ECH2_Q2,726,0.054231071522137804,0.06190476190476191,0.29770992366412213,0.44352617079889806,0.0045581649304428104,0.4986225895316804,0.02109704641350211,0.02822085889570552
C2A+ECH2_S1,749,0.05606497249148546,0.06428571428571428,0.30337078651685395,0.4392523364485981,0.004693893791302984,0.49666221628838453,0.029535864978902954,0.02822085889570552
C2A+ECH2_S2,772,0.056850930049777315,0.06507936507936508,0.29927007299270075,0.43523316062176165,0.004758104358410817,0.49870466321243523,0.029535864978902954,0.029447852760736196
