ts_code,event_interval_days
000078.SZ,19
000078.SZ,29
000078.SZ,76
000088.SZ,50
000088.SZ,9
000088.SZ,19
000088.SZ,70
000088.SZ,8
000088.SZ,27
000088.SZ,17
000088.SZ,26
000089.SZ,28
000089.SZ,50
000089.SZ,88
000090.SZ,18
000090.SZ,31
000090.SZ,17
000090.SZ,13
000090.SZ,71
000090.SZ,13
000096.SZ,87
000096.SZ,161
000099.SZ,54
000099.SZ,15
000099.SZ,18
000099.SZ,14
000099.SZ,7
000099.SZ,46
000099.SZ,73
000099.SZ,14
000099.SZ,7
000099.SZ,45
000099.SZ,8
000100.SZ,19
000100.SZ,20
000100.SZ,15
000100.SZ,9
000100.SZ,10
000100.SZ,28
000100.SZ,52
000100.SZ,21
000100.SZ,11
000100.SZ,23
000100.SZ,14
000100.SZ,20
000100.SZ,17
000100.SZ,35
000151.SZ,128
000153.SZ,19
000155.SZ,15
000155.SZ,20
000155.SZ,25
000155.SZ,7
000155.SZ,27
000155.SZ,14
000155.SZ,19
000155.SZ,41
000155.SZ,15
000155.SZ,17
000155.SZ,32
000155.SZ,17
000155.SZ,19
000156.SZ,35
000156.SZ,17
000156.SZ,73
000156.SZ,67
000156.SZ,19
000156.SZ,13
000157.SZ,42
000157.SZ,8
000157.SZ,19
000157.SZ,35
000157.SZ,23
000157.SZ,7
000157.SZ,27
000157.SZ,16
000157.SZ,28
000157.SZ,19
000157.SZ,13
000157.SZ,17
000157.SZ,12
000157.SZ,27
000157.SZ,37
000158.SZ,47
000158.SZ,20
000158.SZ,20
000158.SZ,14
000158.SZ,59
000158.SZ,19
000158.SZ,17
000158.SZ,38
000158.SZ,14
000158.SZ,46
000158.SZ,10
000159.SZ,39
000159.SZ,35
000159.SZ,27
000159.SZ,52
000159.SZ,19
000159.SZ,29
000166.SZ,20
000166.SZ,20
000166.SZ,17
000166.SZ,13
000166.SZ,19
000166.SZ,7
000166.SZ,7
000166.SZ,123
000166.SZ,11
000166.SZ,70
000301.SZ,31
000301.SZ,19
000301.SZ,59
000301.SZ,38
000301.SZ,7
000301.SZ,21
000301.SZ,11
000301.SZ,19
000301.SZ,20
000333.SZ,19
000333.SZ,44
000333.SZ,34
000333.SZ,11
000333.SZ,108
000333.SZ,27
000333.SZ,22
000333.SZ,27
000333.SZ,34
000338.SZ,28
000338.SZ,15
000338.SZ,22
000338.SZ,29
000338.SZ,109
000338.SZ,17
000338.SZ,21
000338.SZ,19
000338.SZ,17
000400.SZ,18
000400.SZ,10
000400.SZ,14
000400.SZ,17
000400.SZ,19
000400.SZ,17
000400.SZ,12
000400.SZ,27
000400.SZ,17
000400.SZ,35
000400.SZ,24
000400.SZ,8
000400.SZ,17
000400.SZ,27
000402.SZ,49
000402.SZ,42
000402.SZ,27
000403.SZ,51
000403.SZ,11
000403.SZ,35
000403.SZ,123
000403.SZ,48
000403.SZ,20
000404.SZ,244
000407.SZ,35
000407.SZ,17
000407.SZ,19
000407.SZ,21
000407.SZ,26
000407.SZ,28
000408.SZ,17
000408.SZ,16
000408.SZ,19
000408.SZ,17
000408.SZ,19
000408.SZ,17
000408.SZ,7
000408.SZ,19
000408.SZ,13
000408.SZ,27
000408.SZ,17
000408.SZ,19
000408.SZ,17
000408.SZ,21
000408.SZ,20
000408.SZ,28
000408.SZ,33
000409.SZ,19
000409.SZ,9
000409.SZ,39
000409.SZ,17
000409.SZ,19
000409.SZ,90
000409.SZ,51
000409.SZ,19
000410.SZ,17
000410.SZ,19
000410.SZ,35
000410.SZ,19
000410.SZ,57
000410.SZ,17
000410.SZ,47
000411.SZ,21
000415.SZ,19
000415.SZ,28
000415.SZ,13
000415.SZ,16
000415.SZ,21
000415.SZ,26
000415.SZ,8
000415.SZ,34
000415.SZ,9
000415.SZ,13
000415.SZ,20
000415.SZ,17
000415.SZ,21
000415.SZ,13
000415.SZ,19
000415.SZ,57
000417.SZ,17
000417.SZ,19
000417.SZ,26
000417.SZ,31
000417.SZ,19
000417.SZ,17
000417.SZ,21
000417.SZ,27
000419.SZ,128
000419.SZ,32
000420.SZ,21
000420.SZ,27
000420.SZ,13
000420.SZ,23
000420.SZ,12
000420.SZ,32
000420.SZ,46
000420.SZ,41
000420.SZ,11
000420.SZ,21
000420.SZ,54
000420.SZ,21
000421.SZ,102
000421.SZ,20
000421.SZ,17
000421.SZ,60
000421.SZ,43
000422.SZ,45
000422.SZ,20
000422.SZ,19
000422.SZ,20
000422.SZ,14
000422.SZ,21
000422.SZ,30
000422.SZ,20
000422.SZ,38
000422.SZ,11
000422.SZ,9
000422.SZ,27
000422.SZ,27
000423.SZ,8
000423.SZ,22
000423.SZ,62
000423.SZ,16
000423.SZ,7
000423.SZ,27
000423.SZ,11
000423.SZ,14
000423.SZ,17
000423.SZ,7
000423.SZ,7
000423.SZ,43
000423.SZ,10
000425.SZ,19
000425.SZ,17
000425.SZ,19
000425.SZ,17
000425.SZ,17
000425.SZ,25
000425.SZ,33
000425.SZ,9
000425.SZ,21
000425.SZ,11
000425.SZ,28
000425.SZ,27
000425.SZ,37
000426.SZ,19
000426.SZ,9
000426.SZ,19
000426.SZ,19
000426.SZ,21
000426.SZ,17
000426.SZ,19
000426.SZ,17
000426.SZ,48
000426.SZ,19
000426.SZ,17
000426.SZ,21
000426.SZ,19
000426.SZ,30
000426.SZ,40
000428.SZ,20
000428.SZ,130
000429.SZ,136
000429.SZ,7
000429.SZ,11
000429.SZ,27
000429.SZ,105
000498.SZ,142
000501.SZ,17
000501.SZ,19
000501.SZ,56
000501.SZ,17
000501.SZ,25
000501.SZ,17
000501.SZ,21
000501.SZ,20
000503.SZ,19
000503.SZ,17
000503.SZ,19
000503.SZ,29
000503.SZ,61
000503.SZ,52
000505.SZ,99
000505.SZ,27
000505.SZ,21
000505.SZ,19
000505.SZ,32
000505.SZ,38
000506.SZ,25
000506.SZ,19
000506.SZ,19
000506.SZ,24
000506.SZ,25
000506.SZ,24
000506.SZ,27
000506.SZ,40
000506.SZ,17
000506.SZ,21
000506.SZ,19
000506.SZ,34
000506.SZ,37
000507.SZ,25
000507.SZ,31
000507.SZ,45
