group,field,count,mean,median,p25,p75
A_high_in_core_pool,score_total,45,0.7418155858723122,0.7390527823921476,0.7127723838526461,0.767135583954571
A_high_in_core_pool,score_platform_axis_single,45,0.667224511259589,0.6553674832962137,0.5982293986636971,0.7380345211581291
A_high_in_core_pool,score_industry_axis_single,45,0.42378108869780495,0.4071778162349251,0.18811854415661675,0.5799375371802499
A_high_in_core_pool,f_chip_winner_rate,45,0.9179634932089911,0.9575118608910396,0.8915878599462825,0.9865088085561867
A_high_in_core_pool,f_platform_compress_ratio,45,0.37843942816769166,0.3984826589595376,0.32688320663441583,0.4395604395604391
A_high_in_core_pool,rank_global_after_merge,45,2.2888888888888888,2.0,2.0,3.0
A_high_in_core_pool,f_strength_rs20_xsec_q,45,0.8709948910897282,0.8981311835837303,0.8310467479674797,0.9443223443223443
A_high_in_core_pool,f_trend_close_ma20_gap,45,0.08954438625870784,0.06739443560003044,0.03994985956034269,0.10750282648962028
A_high_in_core_pool,f_strength_ret20,45,0.2054934132093833,0.13780918727915203,0.09121621621621623,0.198181331906927
A_high_in_core_pool,f_ind_peer_strong_count,45,7.022222222222222,5.0,1.0,9.0
A_high_in_core_pool,f_ind_rank_pctchg,45,0.8551535452714104,0.9230769230769231,0.8181818181818182,1.0
A_high_in_core_pool,f_ind_rank_amount,45,0.7409755083780667,0.75,0.6041666666666666,0.9560439560439561
A_high_in_core_pool,f_k_pct_chg,45,0.04961129318795625,0.035753778105418466,0.015572639463828253,0.07640449438202235
A_high_in_core_pool,f_k_body_to_atr,45,0.9087938062460268,0.668863261943985,0.3146974063400581,1.269017779073156
A_high_in_core_pool,f_k_upper_shadow_ratio,45,0.2643377210808438,0.22008418520745626,0.07407407407407261,0.3846153846153836
A_high_in_core_pool,f_vol20_vol60,45,1.1823054739758052,1.1451592268349065,0.9519840717208591,1.370867409731531
A_high_in_core_pool,f_breakout_vol_ratio20,45,1.500651624884848,1.2276701209254337,0.8801487622117452,1.9950980001782541
A_high_out_core_pool,score_total,35,0.8202396266088937,0.8470031366610784,0.79409906647298,0.870194148504678
A_high_out_core_pool,score_platform_axis_single,1162,0.4475110615864668,0.44079621380846323,0.2875487193763919,0.6108644209354119
A_high_out_core_pool,score_industry_axis_single,1215,0.5095875916055703,0.5306162457411714,0.30845411281163815,0.6986473149099561
A_high_out_core_pool,f_chip_winner_rate,1215,0.7378800762543704,0.7802756496124766,0.5935408495315653,0.9290612240681642
A_high_out_core_pool,f_platform_compress_ratio,1162,0.588216234841986,0.5826972010178115,0.44841589267285864,0.7271675084175082
A_high_out_core_pool,rank_global_after_merge,35,1.3714285714285714,1.0,1.0,2.0
A_high_out_core_pool,f_strength_rs20_xsec_q,1213,0.7337630546587648,0.7990844354018312,0.6041666666666666,0.9206914082358922
A_high_out_core_pool,f_trend_close_ma20_gap,1215,0.07273149914050583,0.052550706822372506,0.026610335952316544,0.09269569628818097
A_high_out_core_pool,f_strength_ret20,1213,0.1370536643452296,0.09315068493150691,0.03835521769177608,0.19024856596558304
A_high_out_core_pool,f_ind_peer_strong_count,1215,11.315226337448559,6.0,2.0,14.5
A_high_out_core_pool,f_ind_rank_pctchg,1215,0.7060113308009739,0.8461538461538461,0.4913793103448276,0.9666666666666667
A_high_out_core_pool,f_ind_rank_amount,1215,0.7520867462791647,0.803921568627451,0.625,0.9230769230769231
A_high_out_core_pool,f_k_pct_chg,1215,0.027641268144692963,0.023028611304954705,0.0005252805991382559,0.05215338036337103
A_high_out_core_pool,f_k_body_to_atr,1215,0.9022878628145768,0.7047619047619027,0.3180914769500808,1.2496719160104997
A_high_out_core_pool,f_k_upper_shadow_ratio,1205,0.263979928245387,0.23387096774193508,0.07142857142856984,0.40909090909090834
A_high_out_core_pool,f_vol20_vol60,1089,1.1440381226734537,1.0933668593729544,0.8745536636322669,1.3572940770892106
A_high_out_core_pool,f_breakout_vol_ratio20,1215,1.5901040574292316,1.3641698051574147,0.9625009705638496,1.9437084990770297
