group,sample_n,A_high_pct,A_mid_pct,A_low_pct,C_pct,G_pct,mean_ret_t1,mean_ret_t2,mean_ret_t3,median_ret_t1,median_ret_t2,median_ret_t3,win_t1,win_t2,win_t3
core_pool,210,0.11428571428571428,0.09523809523809523,0.11428571428571428,0.38095238095238093,0.29523809523809524,0.004396336929072341,0.009430484253655148,0.009282308691951645,0.0024315696328567338,0.0036641959279181124,0.00572803654457954,0.5285714285714286,0.5476190476190477,0.5380952380952381
priority_tag_1,14,0.35714285714285715,0.0,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.013098418984994023,0.021645633580119332,0.04987468211454841,0.01811473837548705,0.020054635606860938,0.005300550757784794,0.6428571428571429,0.5714285714285714,0.5714285714285714
priority_tag_0,196,0.09693877551020408,0.10204081632653061,0.11224489795918367,0.37755102040816324,0.3112244897959184,0.003774759639363649,0.008557973587479135,0.006382853447480448,0.002172132106827651,0.0033111327526340606,0.00572803654457954,0.5204081632653061,0.5459183673469388,0.5357142857142857
