group,signal_class,condition,fail_count,denominator_non_trigger_for_class,fail_rate
priority_1,breakout_confirm,brk_chg_ok_any,1,14,0.07142857142857142
priority_1,breakout_confirm,brk_vol_any,0,14,0.0
priority_1,pullback_confirm,pull_support_touch_any,4,9,0.4444444444444444
priority_1,pullback_confirm,pull_drawdown_ok_any,2,9,0.2222222222222222
priority_1,pullback_confirm,pull_reclaim_any,2,9,0.2222222222222222
priority_1,pullback_confirm,pull_chg_ok_any,2,9,0.2222222222222222
priority_1,pullback_confirm,pull_vol_ok_any,0,9,0.0
priority_1,pullback_confirm,pull_momentum_ok_any,0,9,0.0
priority_1,range_break_confirm,rng_break_any,10,13,0.7692307692307693
priority_1,range_break_confirm,rng_width_ok_any,7,13,0.5384615384615384
priority_1,range_break_confirm,rng_vol_any,0,13,0.0
