variant,window,sample_n,Ahigh_n,Ahigh_pct,Amid_n,Amid_pct,Alow_n,Alow_pct,C_n,C_pct,G_n,G_pct,Ahigh_over_C
v3_freeze_candidate_2,main,166,18,0.10843373493975904,17,0.10240963855421686,15,0.09036144578313253,70,0.42168674698795183,46,0.27710843373493976,0.2571428571428571
v3_freeze_candidate_2,confirm,172,16,0.09302325581395349,16,0.09302325581395349,19,0.11046511627906977,67,0.38953488372093026,54,0.313953488372093,0.23880597014925373
v3.1_candidate_exact,main,14,8,0.5714285714285714,0,0.0,1,0.07142857142857142,3,0.21428571428571427,2,0.14285714285714285,2.6666666666666665
v3.1_candidate_exact,confirm,8,1,0.125,1,0.125,1,0.125,4,0.5,1,0.125,0.25
v3.1_candidate_relaxed,main,17,9,0.5294117647058824,1,0.058823529411764705,1,0.058823529411764705,4,0.23529411764705882,2,0.11764705882352941,2.25
v3.1_candidate_relaxed,confirm,15,2,0.13333333333333333,2,0.13333333333333333,2,0.13333333333333333,7,0.4666666666666667,2,0.13333333333333333,0.2857142857142857
