group,sample_n,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,Ahigh_C_ratio,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
controller_selected_all,9,0.5555555555555556,0.0,0.2222222222222222,0.2222222222222222,0.0,2.5,0.021921529272880103,0.0221238938053098,0.7777777777777778,0.04996120196025411,0.0554272517321017,0.7777777777777778,0.10104024551535076,0.0780487804878049,0.7777777777777778
controller_selected_f3,7,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,2.5,0.023241841732964588,0.0221238938053098,0.7142857142857143,0.06136540763164366,0.05832832230908,0.8571428571428571,0.11835721280407882,0.161662817551963,0.7142857142857143
controller_selected_f2_only,2,0.0,0.0,1.0,0.0,0.0,,0.0173004356625844,0.0173004356625844,1.0,0.0100464821103907,0.0100464821103907,0.5,0.040430860004802505,0.040430860004802505,1.0
