scope,group,selected_n,signal_days,avg_days_per_signal,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
full_year,mainline_top1_all,223,223,1.0,0.01676709457689285,0.023809523809523808,0.3333333333333333,0.4798206278026906,0.001738568539684847,-0.0011901042828877,0.4618834080717489,0.006178882294513452,0.0010775862068965,0.5022421524663677,0.004380157456279967,-0.0015479611384783,0.47533632286995514
full_year,quality_tag_1,82,82,2.7195121951219514,0.007597589730154571,0.013492063492063493,0.5666666666666667,0.43902439024390244,0.0014848906448429878,-0.00131233595800525,0.4634146341463415,0.011498844622047078,0.0038880248833592,0.5365853658536586,0.01170999241689307,0.0048787745896503,0.5365853658536586
full_year,quality_tag_0,141,141,1.5815602836879432,0.009169504846738277,0.010317460317460317,0.21666666666666667,0.5035460992907801,0.0018871513066636505,-0.0011901042828877,0.46099290780141844,0.0031009040907261365,-0.00111312962999475,0.48226950354609927,0.00019168033592962289,-0.004507767849955701,0.4397163120567376
main_window,mainline_top1_all,57,57,1.0,0.011921458625525946,0.01593625498007968,0.2857142857142857,0.5614035087719298,0.0005342261927179637,0.0019582245430809,0.5263157894736842,0.002867932977471533,-0.0017073170731707,0.47368421052631576,-0.00014456132483342665,-0.0016637089618455,0.49122807017543857
main_window,quality_tag_1,18,18,3.1666666666666665,0.004207573632538569,0.00796812749003984,0.5,0.5555555555555556,0.008859511820212466,0.0098509636555154,0.6111111111111112,0.011316562142452656,0.00751504308234815,0.6111111111111112,0.003220461264632034,0.01408038761818825,0.5555555555555556
main_window,quality_tag_0,39,39,1.4615384615384615,0.007713884992987377,0.00796812749003984,0.2,0.5641025641025641,-0.003308213327664116,-0.0008673026886383,0.48717948717948717,-0.0010314343294428297,-0.0052083333333333,0.41025641025641024,-0.0016976486738174844,-0.0040650406504064,0.46153846153846156
confirm_window,mainline_top1_all,60,60,1.0,0.02832512315270936,0.043478260869565216,0.5714285714285714,0.4666666666666667,0.00422339193363043,0.00064850843060955,0.5,0.01664735457565342,0.011038697821129151,0.6,0.014973891014474846,-6.124061091995e-05,0.5
confirm_window,quality_tag_1,27,27,2.2222222222222223,0.01847290640394089,0.03260869565217391,1.125,0.4074074074074074,-0.00039706980606445477,-0.0078277886497064,0.4074074074074074,0.023296826939764,0.0107632093933462,0.5925925925925926,0.028543208145073856,0.0172978027115475,0.5555555555555556
confirm_window,quality_tag_0,33,33,1.8181818181818181,0.009852216748768473,0.010869565217391304,0.23076923076923078,0.5151515151515151,0.008003769720653519,0.0056179775280897,0.5757575757575758,0.011206877186835669,0.0117340286831812,0.6060606060606061,0.003871722453075658,-0.0103333333333333,0.45454545454545453
