scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,mean_ret_t2,win_t2
C2A,636,0.04663348179198323,0.05476190476190476,0.2987012987012987,0.004632358700187716,0.5015723270440252
R1,638,0.046371495939219284,0.05396825396825397,0.2943722943722944,0.00435019039167683,0.5
R2,637,0.04610951008645533,0.05396825396825397,0.2918454935622318,0.004513361998384326,0.5023547880690737
