scope,scenario,total_events,selected_n,A_total,A_selected,A_recall_rate,A_high_total,A_high_selected,A_high_recall_rate,C_total,C_selected,C_selected_share,A_high_over_C,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
full_year,baseline,18491,393,3817,102,0.026722556981922975,1260,45,0.03571428571428571,6992,148,0.37659033078880405,0.30405405405405406,0.001548412184535233,-0.0008673026886383273,0.4580152671755725,0.00501859643518406,-0.0010319917440659854,0.47837150127226463,0.0051667193561874625,0.0,0.48854961832061067
full_year,c2_expand_daily_quotas,18491,627,3817,174,0.04558553838092743,1260,69,0.05476190476190476,6992,229,0.3652312599681021,0.30131004366812225,0.0019687948030620442,-9.899029895066302e-05,0.4704944178628389,0.0044814755904696016,0.0,0.4944178628389155,0.004580408953063648,0.0,0.4880382775119617
