window,pool,sample_n,mean_ret_t1,mean_ret_t2,mean_ret_t3,median_ret_t1,median_ret_t2,median_ret_t3,win_t1,win_t2,win_t3
main,core_pool,101,0.0035714832487378856,0.006170798189800563,0.007471617859709972,0.001980198019801982,0.0024721878862792313,0.001255230125523088,0.5247524752475248,0.5247524752475248,0.5247524752475248
main,priority_tag_1,7,0.014359200600211865,0.014896026790112562,0.05133029642171257,0.003658536585365857,0.018308989919769703,0.06434155141310893,0.5714285714285714,0.5714285714285714,0.5714285714285714
main,priority_tag_0,94,0.002768142594904717,0.005521047123819883,0.004205546051901268,0.001905012093158076,0.0018451073414343933,0.001236134332538441,0.5212765957446809,0.5212765957446809,0.5212765957446809
confirm,core_pool,109,0.0051606508897492215,0.012450927303648848,0.010960104784212277,0.0027703820968554282,0.006240822320117578,0.006497725795971299,0.5321100917431193,0.5688073394495413,0.5504587155963303
confirm,priority_tag_1,7,0.011837637369776182,0.028395240370126102,0.04841906780738424,0.02180685358255441,0.021800281293952173,0.002812939521800173,0.7142857142857143,0.5714285714285714,0.5714285714285714
confirm,priority_tag_0,102,0.00470242632739443,0.011356709740263154,0.008389391635563221,0.0024315696328567338,0.006197334236981877,0.006760478241043422,0.5196078431372549,0.5686274509803921,0.5490196078431373
all,core_pool,210,0.004396336929072341,0.009430484253655148,0.009282308691951645,0.0024315696328567338,0.0036641959279181124,0.00572803654457954,0.5285714285714286,0.5476190476190477,0.5380952380952381
all,priority_tag_1,14,0.013098418984994023,0.021645633580119332,0.04987468211454841,0.01811473837548705,0.020054635606860938,0.005300550757784794,0.6428571428571429,0.5714285714285714,0.5714285714285714
all,priority_tag_0,196,0.003774759639363649,0.008557973587479135,0.006382853447480448,0.002172132106827651,0.0033111327526340606,0.00572803654457954,0.5204081632653061,0.5459183673469388,0.5357142857142857
