model,window_a_share_full,candidate_n,candidate_a_n,candidate_c_n,candidate_a_share,candidate_c_share,selected_A,selected_C,missed_A,rejected_C,a_share_top10,a_share_top20,a_share_top30,a_share_lift_pts_vs_full_top10,a_share_lift_pts_vs_full_top20,a_share_lift_pts_vs_full_top30,sample_n_top10,sample_n_top20,sample_n_top30
v2.1_draft,0.35393397865475307,477,143,334,0.29979035639413,0.70020964360587,143,334,1283,2269,0.2517482517482518,0.2939297124600639,0.29979035639413,-0.1021857269065013,-0.06000426619468918,-0.05414362226062308,143.0,313.0,477.0
v2.2_draft,0.35393397865475307,477,151,326,0.3165618448637317,0.6834381551362684,151,326,1275,2277,0.2517482517482518,0.2939297124600639,0.3165618448637317,-0.1021857269065013,-0.06000426619468918,-0.03737213379102139,143.0,313.0,477.0
