ts_code,trade_date,quadrant,selection_state,a_subtype,score_trend_axis,score_platform_axis,score_chip_axis,score_industry_axis,score_total
000007.SZ,20251230,missed_A,missed_A,steady_structure_A,0.6393969338568172,0.671536853110298,0.5775770518765737,0.2423368081409779,0.5675969364297285
000059.SZ,20251230,missed_A,missed_A,mixed_A,0.42437428271076266,0.5682174594877156,0.3327166648792786,0.5400843881856541,0.4332007117518206
000681.SZ,20251230,missed_A,missed_A,mixed_A,0.0759709159719152,0.7501045478306325,0.37026962260766705,0.4203896748572847,0.26862176964953033
000737.SZ,20251230,missed_A,missed_A,chip_support_A,0.4825275813981329,0.5982488238369054,0.6081865660848229,0.3905745842640854,0.5117215022435755
000969.SZ,20251230,missed_A,missed_A,mixed_A,0.8187998458935394,0.707344485101934,0.6753609643979667,0.427277240009928,0.713066198557944
002092.SZ,20251230,missed_A,missed_A,mixed_A,0.64185941953114,,,0.596270786795731,
002128.SZ,20251230,missed_A,missed_A,mixed_A,0.6030383277592963,,,0.12292132042690496,
002156.SZ,20251230,missed_A,missed_A,mixed_A,0.46100537118798346,,,0.24199553239017124,
002268.SZ,20251230,missed_A,missed_A,mixed_A,0.8497286554308473,,,0.42718416480516264,
002315.SZ,20251230,missed_A,missed_A,mixed_A,0.24921399052499962,,,0.4203896748572847,
002335.SZ,20251230,missed_A,missed_A,mixed_A,0.5577790506168905,,,0.7027798461156615,
002371.SZ,20251230,missed_A,missed_A,mixed_A,0.5235094565147467,,,0.24199553239017124,
002400.SZ,20251230,missed_A,missed_A,mixed_A,0.03445730962931852,,,0.22449739389426657,
002413.SZ,20251230,missed_A,missed_A,mixed_A,0.898883328613333,,,0.4854802680565897,
002418.SZ,20251230,missed_A,missed_A,mixed_A,0.5374553756615087,,,0.27727103499627703,
002446.SZ,20251230,missed_A,missed_A,mixed_A,0.8180013268993442,,,0.4854802680565897,
002488.SZ,20251230,missed_A,missed_A,mixed_A,0.5595366407596564,,,0.9144328617522959,
002519.SZ,20251230,missed_A,missed_A,mixed_A,0.607755124034957,,,0.4854802680565897,
002565.SZ,20251230,missed_A,missed_A,mixed_A,0.9040182035505742,,,0.44787788533134776,
002648.SZ,20251230,missed_A,missed_A,mixed_A,0.5558023994609094,,,0.596270786795731,
002787.SZ,20251230,missed_A,missed_A,mixed_A,0.44431225156838344,,,0.22449739389426657,
002792.SZ,20251230,missed_A,missed_A,mixed_A,0.9043278565307185,,,0.4854802680565897,
002842.SZ,20251230,missed_A,missed_A,mixed_A,0.9013614440785931,,,0.427277240009928,
