metric,baseline,tune2,delta
candidate_a_share,0.223175965665236,0.2708333333333333,0.047657367668097306
top2_win_t1,0.4745762711864407,0.4872881355932203,0.012711864406779627
top2_win_t2,0.5,0.4788135593220339,-0.0211864406779661
top3_win_t1,0.4661016949152542,0.4745762711864407,0.008474576271186474
top3_win_t2,0.4632768361581921,0.4604519774011299,-0.0028248587570621764
top5_win_t1,0.4525423728813559,0.4565587734241908,0.004016400542834919
top5_win_t2,0.4423728813559322,0.43100511073253833,-0.011367770623393891
top1_3_minus_top4_5_win_t2_gap,0.05225988700564971,0.07418588298052908,0.021925995974879375
