ts_code,count
603686.SH,2
603186.SH,2
000592.SZ,2
000565.SZ,1
605055.SH,1
600113.SH,1
605196.SH,1
600578.SH,1
600081.SH,1
001359.SZ,1
000672.SZ,1
603386.SH,1
000988.SZ,1
603811.SH,1
600671.SH,1
603856.SH,1
600173.SH,1
600728.SH,1
603200.SH,1
603158.SH,1
