feature,family,rank,abs_cliffs_delta,missing_rate_max,direction,layer,layer_code,redundant_with,reason_summary,role_hint
f_strength_ret20,strength,8,0.2505054309260237,0.0322797579018157,A更高,连续评分候选,scoring,f_strength_vs_index20,|delta|=0.2505；missing_max=3.23%；方向=A更高；有区分力，适合连续加分；与f_strength_vs_index20高相关，避免重复约束,single_role
f_strength_rs60_xsec_q,strength,9,0.2325324271047615,0.1277740416946872,A更高,连续评分候选,scoring,,|delta|=0.2325；missing_max=12.78%；方向=A更高；有区分力，适合连续加分,single_role
f_chip_winner_rate,chip,10,0.2281172116579544,0.0,A更高,??????,scoring,,|delta|=0.2281；missing_max=0.00%；方向=A更高；高区分+低缺失+方向明确?sanity:????????????????????,scoring_with_upper_saturation_guard
f_strength_vs_index60,strength,11,0.226876810636071,0.1277740416946872,A更高,连续评分候选,scoring,f_strength_rs60_xsec_q,|delta|=0.2269；missing_max=12.78%；方向=A更高；有区分力，适合连续加分；与f_strength_rs60_xsec_q高相关，避免重复约束,single_role
f_strength_ret60,strength,12,0.2246409786265151,0.1277740416946872,A更高,连续评分候选,scoring,f_strength_vs_index60,|delta|=0.2246；missing_max=12.78%；方向=A更高；有区分力，适合连续加分；与f_strength_vs_index60高相关，避免重复约束,single_role
f_ind_rank_amount,industry,14,0.1736060792471878,0.0,A更高,连续评分候选,scoring,,|delta|=0.1736；missing_max=0.00%；方向=A更高；有区分力，适合连续加分,single_role
f_trend_ma20_ma60_gap,strength,16,0.1388590469641453,0.1277740416946872,A更高,连续评分候选,scoring,f_trend_close_ma60_gap,|delta|=0.1389；missing_max=12.78%；方向=A更高；有区分力，适合连续加分；与f_trend_close_ma60_gap高相关，避免重复约束,single_role
f_trend_ma20_slope5,strength,17,0.1220566364591033,0.050437121721587,A更高,连续评分候选,scoring,,|delta|=0.1221；missing_max=5.04%；方向=A更高；有区分力，适合连续加分,single_role
f_chip_concentration,chip,19,0.1087376154963908,0.0,A更高,连续评分候选,scoring,,|delta|=0.1087；missing_max=0.00%；方向=A更高；有区分力，适合连续加分,single_role
f_k_pct_chg,kline,2,0.316323831756341,0.0,A更高,触发确认候选,trigger,,|delta|=0.3163；missing_max=0.00%；方向=A更高；更适合放在触发确认层,single_role
f_k_body_to_atr,kline,13,0.1826801876561297,0.01546738399462,A更高,触发确认候选,trigger,,|delta|=0.1827；missing_max=1.55%；方向=A更高；更适合放在触发确认层,single_role
f_breakout_vol_ratio20,volume,15,0.1447595860180095,0.0316072629455279,A更高,触发确认候选,trigger,,|delta|=0.1448；missing_max=3.16%；方向=A更高；更适合放在触发确认层,single_role
f_up_down_vol_ratio20,volume,18,0.1134286314749335,0.1869535978480161,A更高,触发确认候选,trigger,,|delta|=0.1134；missing_max=18.70%；方向=A更高；更适合放在触发确认层,single_role
f_k_upper_shadow_ratio,kline,20,0.0968548698276169,0.0025127805216185,A更低,触发确认候选,trigger,,|delta|=0.0969；missing_max=0.25%；方向=A更低；更适合放在触发确认层,single_role
f_k_close_pos,kline,21,0.0960543457290084,0.0025127805216185,A更高,触发确认候选,trigger,f_k_upper_shadow_ratio,|delta|=0.0961；missing_max=0.25%；方向=A更高；更适合放在触发确认层；与f_k_upper_shadow_ratio高相关，避免重复约束,single_role
f_k_lower_shadow_ratio,kline,23,0.0840331382792407,0.0025127805216185,A更低,触发确认候选,trigger,,|delta|=0.0840；missing_max=0.25%；方向=A更低；更适合放在触发确认层,single_role
