trade_date,ts_code,name,industry,event_type_candidate,candidate_condition_count,pct_chg,vol_ratio20,close_pos,platform_range_20,entry_date,entry_possible,max_favorable_excursion,max_adverse_excursion
20260327,600513.SH,联环药业,化学制药,breakout_strong,6,10.01,1.7892398345092995,1.0,0.18432989690721646,20260330,True,0.22373909745923415,-0.007584376185058805
20260327,002082.SZ,万邦德,中成药,breakout_strong,6,10.01,1.51807390322642,1.0,0.31051964512040564,20260330,True,0.3049962714392245,-0.020134228187919434
20260327,002294.SZ,信立泰,化学制药,breakout_strong,6,10.01,1.3862977396787461,1.0,0.2265755251750583,20260330,True,0.15056726094003237,-0.012965964343598091
20260327,002263.SZ,大东南,塑料,breakout_strong,5,10.0,4.382912793269419,1.0,0.163978494623656,20260330,True,0.24220623501199046,-0.04076738609112707
20260327,002038.SZ,双鹭药业,生物制药,breakout_strong,5,9.98,2.628125441864324,1.0,0.1545595054095827,20260330,True,0.34285714285714297,-0.027142857142857246
20260327,002755.SZ,奥赛康,化学制药,trend_high_like,4,10.01,3.0708327046767514,1.0,0.13788659793814426,20260330,True,0.12888601036269431,-0.0032383419689118176
20260326,600207.SH,安彩高科,电气设备,breakout_strong,6,10.03,2.067644636581734,1.0,0.1423948220064725,20260327,True,0.203125,-0.042187500000000044
20260326,603937.SH,丽岛新材,铝,breakout_strong,5,9.98,2.687482639513166,1.0,0.19565217391304354,20260327,True,0.11786237188872617,-0.03733528550512444
20260326,603507.SH,振江股份,电气设备,trend_high_like,4,1.73,1.2683552456370446,0.5218855218855223,0.2558536585365853,20260327,True,0.1573684210526316,0.0
20260325,603227.SH,雪峰科技,化工原料,breakout_strong,6,5.14,3.387317286531943,0.8026315789473679,0.09159482758620686,20260326,True,0.1048648648648649,0.0
20260325,600539.SH,狮头股份,互联网,breakout_strong,6,9.97,2.7510537786961393,1.0,0.1776570985259892,20260326,True,0.2153846153846155,-0.021538461538461506
20260325,002192.SZ,融捷股份,小金属,breakout_strong,6,10.0,2.4807425270876933,1.0,0.14162377552714586,20260326,True,0.2591708917387414,-0.021473307485833537
20260325,603272.SH,联翔股份,家居用品,breakout_strong,5,6.08,2.7582846053455907,0.829268292682928,0.20204700530705075,20260326,True,0.3568023469013568,-0.03923725705903924
20260325,000688.SZ,国城矿业,铅锌,trend_high_like,5,5.13,1.313734407224539,0.8502994011976049,0.23058823529411765,20260326,True,0.17378378378378367,-0.005405405405405461
20260324,000809.SZ,和展能源,电气设备,breakout_strong,6,9.86,3.803586000729449,0.9705882352941182,0.17048346055979652,20260325,True,0.14358974358974352,-0.017948717948717885
20260324,000690.SZ,宝新能源,火力发电,trend_high_like,5,5.81,1.989114126393246,1.0,0.14677103718199608,20260325,True,0.21980198019801978,-0.025742574257425765
20260324,002616.SZ,长青集团,环境保护,trend_high_like,5,5.3,1.8126479855127622,1.0,0.13384615384615386,20260325,True,0.11987381703470024,-0.02208201892744477
20260323,600982.SH,宁波能源,供气供热,breakout_strong,6,8.37,3.491077935558952,0.8709677419354838,0.14498141263940525,20260324,True,0.3602941176470589,-0.003676470588235392
20260323,001256.SZ,炜冈科技,轻工机械,breakout_strong,5,2.77,4.117951228987172,0.9705882352941172,0.11767169179229475,20260324,True,0.2021052631578948,-0.012631578947368438
20260320,600310.SH,广西能源,水力发电,breakout_strong,6,9.91,4.147198764356099,1.0,0.15754923413566743,20260323,True,0.43790849673202614,-0.013071895424836555
20260320,600758.SH,辽宁能源,煤炭开采,trend_high_like,4,2.38,2.771324623591584,0.4166666666666667,0.17555555555555558,20260323,True,0.3977777777777778,-0.004444444444444362
20260319,603016.SH,新宏泰,电气设备,breakout_like,5,3.9,3.0833844861215822,0.6236162361623606,0.13793103448275856,20260320,True,0.18636995827538239,-0.04061196105702369
20260317,600643.SH,爱建集团,多元金融,breakout_strong,5,10.11,5.2844968530034215,1.0,0.09274193548387095,20260318,True,0.14000000000000012,-0.014000000000000012
20260317,603693.SH,江苏新能,新型电力,trend_high_like,5,9.97,2.1221048320513516,1.0,0.2433436532507739,20260318,True,0.18478944060339408,-0.007542426147077341
20260316,603558.SH,健盛集团,纺织,breakout_like,5,1.15,5.897552090330158,0.3658536585365861,0.1277906081601232,20260317,True,0.10738766184310733,-0.0038080731150038627
20260313,002950.SZ,奥美医疗,医疗保健,breakout_strong,5,10.03,2.6832820197409677,1.0,0.09244444444444437,20260316,True,0.11130587204206832,-0.014899211218229569
20260312,000990.SZ,诚志股份,化工原料,breakout_strong,6,10.01,2.424910334430897,1.0,0.16062176165803116,20260313,True,0.1279999999999999,-0.030000000000000027
20260312,600683.SH,京投发展,区域地产,trend_high_like,5,6.7,1.0835461808108389,0.8405797101449272,0.30322580645161284,20260313,True,0.4374209860935523,-0.013906447534766109
20260312,000890.SZ,法尔胜,环境保护,trend_high_like,5,10.04,1.0731311877362604,1.0,0.45929018789144055,20260313,True,0.3474976392823419,-0.013220018885741314
20260311,600227.SH,赤天化,农药化肥,breakout_strong,6,5.74,2.7130055109697704,0.782608695652173,0.3894472361809045,20260312,True,0.3366336633663367,-0.03960396039603964
20260311,603949.SH,雪龙集团,汽车配件,breakout_strong,5,5.08,4.455399534362381,0.8738738738738733,0.13343253968253974,20260312,True,0.19274153997057386,-0.005885237861696924
20260311,000062.SZ,深圳华强,元器件,breakout_strong,5,9.99,3.550130069460969,1.0,0.1176699029126214,20260312,True,0.10620155038759682,-0.012403100775193798
20260311,600722.SH,金牛化工,化工原料,trend_high_like,5,9.98,1.265068212716981,1.0,0.5094086021505376,20260312,True,0.3797381116471399,-0.011026878015162
20260311,002150.SZ,正泰电源,机械基件,trend_high_like,4,10.01,0.7226343000286269,1.0,0.22858099062918336,20260312,True,0.126444159178434,-0.014762516046213148
20260310,002709.SZ,天赐材料,化工原料,breakout_like,6,4.13,2.247085168078419,0.37956204379561825,0.13942628418945954,20260311,True,0.1196487376509332,-0.012513721185510418
20260310,001207.SZ,联科科技,化工原料,breakout_strong,5,1.79,1.3628624509747327,0.7682926829268278,0.08415841584158425,20260311,True,0.19575060954371293,-0.008359456635318785
20260310,600509.SH,天富能源,火力发电,trend_high_like,4,1.88,1.6815656387128737,0.4800000000000004,0.11422413793103435,20260311,True,0.10679611650485432,-0.03667745415318224
20260310,000048.SZ,京基智农,农业综合,trend_high_like,3,2.62,1.5825329499059029,0.5590551181102371,0.10619469026548668,20260311,True,0.1338541666666666,0.0
20260310,603098.SH,森特股份,装修装饰,trend_high_like,3,2.18,1.4836820836089217,0.800000000000004,0.09287925696594417,20260311,True,0.1071428571428572,-0.01253132832080206
20260310,002812.SZ,恩捷股份,电气设备,trend_high_like,3,1.13,0.9502867808402766,0.3154121863799276,0.26889534883720934,20260311,True,0.1594488188976375,-0.002574197456087224
20260310,002360.SZ,同德化工,化工原料,trend_high_like,3,2.25,0.8657595227666433,0.7368421052631582,0.16999999999999993,20260311,True,0.16188870151770662,-0.010118043844856595
20260309,601611.SH,中国核建,建筑工程,trend_high_like,5,4.05,1.8393658968422106,0.8235294117647054,0.12804171494785635,20260310,True,0.13176470588235278,-0.035882352941176476
20260309,600628.SH,新世界,百货,trend_high_like,4,4.85,2.5514239435230617,0.9019607843137275,0.12200956937799039,20260310,True,0.13625304136253025,-0.021897810218978297
20260309,002298.SZ,中电鑫龙,电气设备,breakout_strong,4,2.73,2.4823607438309754,0.9636363636363612,0.09865470852017934,20260310,True,0.1929824561403508,-0.014912280701754432
20260309,603538.SH,美诺华,化学制药,breakout_like,4,1.21,2.0509571864443896,0.6355140186915883,0.10097864768683272,20260310,True,0.15079365079365092,-0.010141093474426821
20260309,600135.SH,乐凯胶片,塑料,trend_high_like,4,9.96,1.8810265720697077,1.0,0.164569215876089,20260310,True,0.11250000000000004,-0.025000000000000022
20260309,601700.SH,风范股份,电气设备,breakout_like,4,1.62,1.2933924771975822,0.6071428571428563,0.13599999999999995,20260310,True,0.125,-0.03639240506329122
20260309,601218.SH,吉鑫科技,电气设备,trend_high_like,4,0.87,1.180668336917858,1.0,0.09450171821305854,20260310,True,0.3087478559176673,-0.012006861063464935
20260306,605286.SH,同力天启,运输设备,breakout_strong,6,9.99,3.745851429940962,1.0,0.10791887976822788,20260309,True,0.15593834995466915,0.0
20260306,001896.SZ,豫能控股,火力发电,breakout_strong,6,9.97,2.15627104313972,1.0,0.6115755627009647,20260309,True,0.19199999999999995,0.0
20260306,600545.SH,卓郎智能,纺织机械,breakout_strong,6,10.08,1.6161764890113028,1.0,0.35278514588859416,20260309,True,0.12371134020618557,-0.030927835051546393
20260306,002652.SZ,扬子新材,其他建材,breakout_strong,6,7.91,1.3533984499326268,0.8541666666666662,0.19917012448132787,20260309,True,0.21532091097308492,-0.01863354037267073
20260306,600405.SH,动力源,电气设备,breakout_like,5,5.76,4.623712166495003,0.549019607843138,0.07706093189964153,20260309,True,0.14495412844036704,0.0
20260306,002480.SZ,新筑股份,运输设备,breakout_strong,5,7.25,3.1224709896523684,0.7812499999999993,0.09737248840803708,20260309,True,0.12135176651305679,-0.015360983102918557
20260306,000677.SZ,恒天海龙,化纤,breakout_strong,5,10.0,2.3768012357937733,1.0,0.11943793911007022,20260309,True,0.13832199546485247,-0.024943310657596474
20260306,605098.SH,行动教育,文教休闲,breakout_like,5,0.45,2.072062789364951,0.6616161616161638,0.13811939133827544,20260309,True,0.11243412063244196,-0.010345500683193287
20260306,603716.SH,塞力医疗,医药商业,trend_high_like,4,10.01,2.4594298124958374,1.0,0.16093880972338642,20260309,True,0.12910481331533963,-0.0022492127755285862
20260306,000516.SZ,国际医学,医疗保健,trend_high_like,4,10.11,2.055539327122892,1.0,0.12031558185404345,20260309,True,0.1060000000000001,-0.02200000000000002
20260306,603218.SH,日月股份,电气设备,breakout_strong,4,1.62,1.5543366374998877,0.7115384615384606,0.07435719249478806,20260309,True,0.18080667593880384,-0.014603616133518793
20260306,603421.SH,鼎信通讯,通信设备,trend_high_like,4,1.82,1.229849470971909,0.5624999999999987,0.1171597633136094,20260309,True,0.23039806996381196,-0.021712907117008462
