signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20250930,20251009,600499.SH,科达制造,专用机械,63.25,0.8225635593220338,0.13333333333333333,0.071954210956664,12.08,12.1,12.47,11.71,A,1.42,-0.0008264462809917106,-0.030473135525260653,-0.01983471074380172,-0.0489174017642342,-0.0380165289256198,-0.06655974338412185
20251015,20251016,601059.SH,信达证券,证券,62.96,0.8018018018018018,0.38333333333333336,0.06780512305374173,19.65,19.69,19.97,18.87,A,1.88,0.015744032503808958,0.001502253380070151,0.011173184357541777,-0.003004506760140191,0.003047232097511454,-0.011016524787180737
20251029,20251030,601336.SH,新华保险,保险,66.88,0.9072602013778485,0.35,0.07380442541042115,70.5,70.64,70.1,67.83,B,1.11,-0.040062287655719064,-0.032667617689015604,-0.057899207248018114,-0.050641940085591974,-0.055067950169875424,-0.04778887303851631
20251030,20251031,601336.SH,新华保险,保险,73.84,0.9374668786433492,0.31666666666666665,0.0533145275035261,70.5,70.64,70.88,67.82,B,1.1,-0.057899207248018114,-0.06108916478555304,-0.055067950169875424,-0.05826749435665912,-0.0618629671574179,-0.0650395033860045
20251103,20251104,000159.SZ,国际实业,石油贸易,73.94,0.81293057763646,0.016666666666666666,0.06655844155844158,6.23,6.24,6.16,6.07,B,1.08,0.009615384615384581,0.022727272727272707,0.0032051282051281937,0.016233766233766156,0.019230769230769162,0.032467532467532534
20251103,20251104,600526.SH,菲达环保,环境保护,66.87,0.8298887122416534,0.38333333333333336,0.0690846286701208,5.63,5.64,5.71,5.47,A,1.53,0.015957446808510856,0.003502626970227851,0.02127659574468077,0.008756567425569184,0.03900709219858167,0.02626970227670755
20251103,20251104,601677.SH,明泰铝业,铝,71.67,0.8394276629570747,0.45,0.06840390879478832,15.3,15.33,15.39,14.82,B,1.03,-0.030658838878017014,-0.03443794671864853,0.010437051532941943,0.006497725795971299,0.004566210045662045,0.0006497725795970855
20251105,20251106,603105.SH,芯能科技,电气设备,69.35,0.8686440677966102,0.43333333333333335,0.052281368821292674,9.61,9.63,10.8,9.29,A,5.59,0.1298026998961579,0.007407407407407307,0.13811007268951192,0.014814814814814836,0.15057113187954307,0.025925925925925908
20251106,20251107,600257.SH,大湖股份,渔业,75.37,0.8807631160572337,0.016666666666666666,0.0656565656565656,5.87,5.88,5.98,5.72,A,1.45,0.028911564625850428,0.011705685618728978,0.04081632653061229,0.02341137123745818,0.03231292517006801,0.015050167224080147
20251106,20251107,603126.SH,中材节能,环境保护,66.07,0.8362480127186009,0.2833333333333333,0.07877169559412547,7.43,7.44,7.44,7.23,B,1.08,0.04166666666666652,0.04166666666666652,0.03629032258064502,0.03629032258064502,0.029569892473118253,0.029569892473118253
