watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_price_net,entry_bar_close,volume_ratio,vol_ma20_prev,prev_close,limit_up_price,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3,ret_close0_gross,ret_t1_gross,ret_t2_gross,ret_t3_gross
20250731,20250801,603598.SH,引力传媒,互联网,70.09,18.72,18.76,18.15,14:05:00,18.76,18.784388000000003,18.72,1.7237861224203723,130522.573,18.91,20.801000000000002,A,1.0,-0.006782121408480446,-0.022184965514979837,-0.020060435293393963,-0.030683086401324555,-0.0031982942430704986,-0.018656716417910557,-0.016524520255863706,-0.027185501066098183
20250801,20250804,600976.SH,健民集团,中成药,60.72,42.06,42.14,41.18,11:05:00,42.14,42.194782000000004,42.11,1.2689232657290568,25501.147999999997,42.66,46.926,A,1.0,0.0020794988347137,-0.00430467918995292,-0.01423562278387891,-0.02227495807419977,0.005695301376364537,-0.0007119126720456226,-0.01067869008068345,-0.018747033697199766
20250805,20250806,603912.SH,佳力图,专用机械,68.39,9.55,9.57,9.28,11:05:00,9.57,9.582441000000001,9.55,1.048766893155484,241081.21800000002,9.42,10.362,B,0.5,-0.01608942857044482,0.009939951626104282,0.03284580619906774,0.02555757974403372,-0.012539184952978122,0.013584117032392706,0.03657262277951934,0.02925809822361547
20250806,20250807,603912.SH,佳力图,专用机械,67.63,9.55,9.57,9.27,10:55:00,9.57,9.582441000000001,9.55,1.1013512494555826,254599.06650000002,9.45,10.395,B,0.5,0.009939951626104282,0.03284580619906774,0.02555757974403372,0.07241046409782226,0.013584117032392706,0.03657262277951934,0.02925809822361547,0.07628004179728332
20250812,20250813,000856.SZ,冀东装备,专用机械,73.39,12.29,12.31,11.82,14:10:00,12.31,12.326003000000002,12.32,1.0128955398956077,214877.0445,12.42,13.662,B,0.5,0.0012612361038688569,-0.04082896945587322,-0.03921011539588315,-0.020593293705997162,0.004874086108854536,-0.037367993501218555,-0.035743298131600376,-0.0170593013809911
20250813,20250814,603278.SH,大业股份,钢加工,78.01,10.69,10.71,10.38,14:25:00,10.71,10.723923000000001,10.71,1.0464791571067393,148050.727,11.05,12.155000000000001,B,0.5,-0.005456025747294313,0.003847472608671021,0.01129027129344351,0.015942020471426455,-0.0018674136321196189,0.007469654528477809,0.014939309056956063,0.019607843137254832
20250815,20250818,000612.SZ,焦作万方,铝,78.06,9.05,9.07,8.81,14:40:00,9.07,9.081791,9.08,1.0000322071996577,316652.80149999994,9.07,9.977,B,0.5,-0.001398182362928213,0.007390392489763142,0.02606611405173287,0.013981823629281909,0.0022050716648289725,0.011025358324145529,0.029768467475192795,0.01764057331863289
20251103,20251104,600526.SH,菲达环保,环境保护,66.87,5.63,5.64,5.47,13:20:00,5.64,5.6473320000000005,5.65,1.0557903565194786,156176.83849999998,5.79,6.369000000000001,B,0.5,-0.003595326076101135,0.012304748507790952,0.017604773369088056,0.035271522906745956,0.0,0.015957446808510856,0.02127659574468077,0.03900709219858167
20251111,20251112,603660.SH,苏州科达,IT设备,68.77,9.1,9.12,8.71,11:20:00,9.12,9.131855999999999,9.1,1.4162195092474763,197636.029,9.05,9.955000000000002,A,1.0,0.019348202599778208,0.02371839853804092,0.03901408432196063,0.11112231730329536,0.023026315789473673,0.0274122807017545,0.04276315789473695,0.11513157894736858
20251114,20251117,600776.SH,东方通信,通信设备,67.11,13.42,13.45,12.9,14:05:00,13.45,13.467485,13.46,1.0352350854785066,252611.222,13.62,14.982000000000001,B,0.5,0.0008496018373140846,-0.019152573773054127,-0.03767310674561719,-0.04508131993464248,0.004460966542751077,-0.015613382899628214,-0.0342007434944237,-0.04163568773234194
