signal_date,confirm_date,ts_code,name,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t2,ret_t3
20251209,20251210,603518.SH,锦泓集团,62.03,0.922710428798306,0.4716981132075472,0.07414634146341462,10.25,10.27,9.83,A,2.49,-0.020447906523855752,0.018500486854917453,0.01947419668938677
20251216,20251217,600298.SH,安琪酵母,63.48,0.8453389830508474,0.034482758620689655,0.050738916256157514,41.87,41.95,40.87,A,1.74,0.004529201430274021,0.06293206197854584,0.08700834326579265
20251216,20251217,601156.SH,东航物流,62.72,0.8723516949152542,0.1896551724137931,0.06202457577530733,17.26,17.29,16.88,A,1.5,0.03296703296703307,0.037015615962984416,0.055523423944476624
20251217,20251218,600298.SH,安琪酵母,64.0,0.8560084700899947,0.11864406779661017,0.04918426103646826,41.86,41.94,40.76,A,1.39,0.06318550309966642,0.08726752503576551,0.05412494039103488
20251217,20251218,600993.SH,马应龙,66.48,0.8988883006881948,0.13559322033898305,0.04844762879563295,29.44,29.5,28.79,A,1.43,0.021016949152542486,0.0077966101694915135,-0.017966101694915304
20251217,20251218,601156.SH,东航物流,64.71,0.8814187400741132,0.2542372881355932,0.06029579067121743,17.26,17.29,16.86,B,1.1,0.037015615962984416,0.055523423944476624,0.03990746096009268
20251217,20251218,603313.SH,梦百合,61.85,0.8787718369507675,0.1016949152542373,0.0688935281837161,9.64,9.66,9.33,B,1.19,0.013457556935817738,0.005175983436852993,-0.005175983436853104
20251217,20251218,605099.SH,共创草坪,63.28,0.8385389094759131,0.3559322033898305,0.07753796962430047,38.11,38.19,36.41,B,1.15,-0.002356637863314859,0.012306886619533941,0.0010473946059177397
20251218,20251219,600795.SH,国电电力,86.22,0.9333685880486515,0.016666666666666666,0.05008347245409012,5.96,5.97,5.83,A,1.66,-0.0167504187604689,-0.01005025125628134,-0.00670016750418756
20251218,20251219,600993.SH,马应龙,67.67,0.9159175039661555,0.31666666666666665,0.047747141896435835,29.44,29.5,28.73,A,1.37,0.0077966101694915135,-0.017966101694915304,-0.02745762711864408
20251218,20251219,603313.SH,梦百合,64.73,0.8889476467477525,0.15,0.0690376569037657,9.64,9.66,9.33,B,1.04,0.005175983436852993,-0.005175983436853104,-0.010351966873705987
20251219,20251222,000672.SZ,上峰水泥,63.54,0.817028027498678,0.21666666666666667,0.0682839173405211,11.51,11.53,11.1,A,2.01,-0.0095403295750216,0.027753686036426695,0.038161318300086844
20251219,20251222,600298.SH,安琪酵母,71.17,0.911158117398202,0.2,0.05965463108320243,42.47,42.55,41.16,A,2.72,0.03901292596944783,0.03525264394829608,0.033137485311398374
20251219,20251222,601899.SH,紫金矿业,74.04,0.85193019566367,0.06666666666666667,0.05880462724935727,31.95,32.01,30.84,A,1.25,0.002499218994064467,0.009372071227741419,0.0006248047485162278
20251222,20251223,000672.SZ,上峰水泥,66.68,0.8810153358011634,0.3,0.06643356643356642,11.51,11.53,11.08,A,1.22,0.027753686036426695,0.038161318300086844,0.038161318300086844
20251222,20251223,600428.SH,中远海特,67.9,0.8228450555261766,0.03333333333333333,0.047683923705722026,7.3,7.31,7.12,B,1.1,-0.009575923392612817,-0.015047879616962967,-0.01641586867305056
20251222,20251223,601899.SH,紫金矿业,76.19,0.9243786356425172,0.18333333333333332,0.05625576391023665,31.95,32.01,30.75,A,1.34,0.009372071227741419,0.0006248047485162278,0.04748516088722288
20251224,20251225,000672.SZ,上峰水泥,69.72,0.9144215530903328,0.36666666666666664,0.06919831223628695,11.57,11.59,11.11,A,1.22,0.032786885245901676,0.0051768766177739955,0.018981880931837836
20251224,20251225,603901.SH,永创智能,84.45,0.9371368198626518,0.016666666666666666,0.06808510638297866,14.19,14.22,13.66,B,1.11,-0.02320675105485237,0.005625879043600568,-0.002812939521800395
20251224,20251225,603915.SH,国茂股份,68.0,0.8182778658214475,0.016666666666666666,0.0766530134581626,17.49,17.52,16.95,A,1.63,0.03481735159817356,0.044520547945205546,0.057077625570776336
20251225,20251226,603901.SH,永创智能,83.27,0.8557844690966719,0.016666666666666666,0.06559665038381016,14.17,14.2,13.63,B,1.08,0.007042253521126751,-0.0014084507042253502,0.0
20251226,20251229,000612.SZ,焦作万方,73.9,0.9127445795875199,0.08333333333333333,0.07741347905282328,10.45,10.47,9.99,A,1.55,0.05921680993314227,0.05253104106972284,0.08118433619866283
20251226,20251229,000630.SZ,铜陵有色,73.81,0.9333685880486515,0.2,0.0775716694772344,5.64,5.65,5.4,A,1.97,0.0265486725663715,0.06371681415929187,0.030088495575221197
20251226,20251229,600057.SH,厦门象屿,65.24,0.8307773664727657,0.43333333333333335,0.07336343115124158,8.84,8.86,8.5,B,1.06,-0.02483069977426622,-0.038374717832957095,-0.053047404063205295
20251226,20251229,601168.SH,西部矿业,82.88,0.9518773135906927,0.05,0.07571896614488527,26.38,26.43,25.32,A,1.55,0.019674612183125273,0.04578130911842604,0.06205069996216417
20251226,20251229,601689.SH,拓普集团,73.3,0.9063987308302486,0.016666666666666666,0.0764483097208585,72.45,72.59,69.69,B,1.01,0.07287505166000807,0.06323185011709609,0.060889929742388826
