signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,ambiguous_intrabar,volume_ratio,platform_range,chip_concentration,chip_low_position
20260108,20260109,20260115,5,600638.SH,新黄浦,pullback,59.5,0.2874,6.65,6.54,6.67,7.14,time_exit,0.0704647676161918,3.6153846153846163,0.019490254872563704,1,1,1,0,0.76,20.7,8.52,46.92
20260108,20260109,20260115,5,600682.SH,南京新百,pullback,65.16,0.3758,8.8,8.66,8.8,8.76,time_exit,-0.00454545454545463,-0.28571428571429114,0.015909090909090973,1,1,1,0,0.58,15.82,9.64,61.79
20260108,20260109,20260113,3,600895.SH,张江高科,pullback,54.87,0.2457,46.75,45.75,48.56,45.75,stop_loss,-0.057866556836902894,-1.0,0.057866556836902845,0,0,0,0,1.42,22.66,11.85,60.09
20260108,20260109,20260115,5,603012.SH,创力集团,pullback,53.65,0.2185,6.84,6.68,6.84,7.14,time_exit,0.04385964912280693,1.8749999999999973,0.0233918128654971,1,1,1,0,3.33,23.55,10.77,50.02
20260108,20260109,20260112,2,603333.SH,尚纬股份,breakout,68.44,0.4639,8.99,8.79,9.2,8.79,stop_loss,-0.04456521739130437,-1.0,0.04456521739130437,0,0,0,0,3.98,11.71,7.09,45.46
20260108,20260109,20260112,2,603507.SH,振江股份,pullback,55.99,0.1841,28.6,28.0,29.15,28.0,stop_loss,-0.039451114922812947,-1.0,0.03945111492281299,0,0,0,0,1.37,20.26,10.7,50.83
20260109,20260112,20260116,5,600259.SH,中稀有色,breakout,60.58,0.1546,64.22,63.39,66.6,76.3,time_exit,0.14564564564564564,3.0218068535825613,0.04819819819819811,1,1,1,0,2.08,23.63,9.93,32.44
20260109,20260112,20260112,1,600273.SH,嘉化能源,pullback,59.84,0.2585,9.45,9.32,9.45,9.45,intrabar_mid,0.0,0.0,0.013756613756613653,1,0,0,1,1.31,17.0,8.94,38.5
20260109,20260112,20260116,5,600338.SH,西藏珠峰,breakout,64.52,0.2191,16.9,16.5,17.4,18.07,time_exit,0.03850574712643695,0.7444444444444475,0.051724137931034406,1,1,0,0,1.47,21.12,10.66,65.91
20260109,20260112,20260112,1,600367.SH,红星发展,breakout,68.73,0.6942,18.65,18.34,18.66,18.34,stop_loss,-0.017148981779206873,-1.0,0.017148981779206873,0,0,0,0,1.38,18.24,8.04,44.72
20260109,20260112,20260112,1,600583.SH,海油工程,breakout,61.85,0.3437,5.93,5.88,5.93,5.88,stop_loss,-0.00843170320404718,-1.0,0.008431703204047188,0,0,0,0,2.37,10.81,5.73,49.5
20260109,20260112,20260116,5,603012.SH,创力集团,pullback,54.04,0.175,6.93,6.75,7.03,7.57,time_exit,0.07681365576102417,1.928571428571427,0.03982930298719776,1,1,0,0,2.13,23.55,10.71,52.04
20260109,20260112,20260112,1,603507.SH,振江股份,pullback,55.61,0.1437,29.94,28.75,29.94,28.75,stop_loss,-0.03974615898463596,-1.0,0.03974615898463598,0,0,0,0,1.57,20.26,11.0,51.88
20260112,20260113,20260113,1,600186.SH,莲花控股,breakout,68.08,0.2778,6.45,6.25,6.55,6.25,stop_loss,-0.04580152671755722,-1.0,0.045801526717557224,0,0,0,0,1.92,9.51,7.49,41.95
20260112,20260113,20260119,5,600531.SH,豫光金铅,pullback,57.33,0.2222,13.29,12.94,13.35,13.93,time_exit,0.043445692883895104,1.4146341463414631,0.030711610486891396,1,1,0,0,1.32,20.3,10.24,52.03
20260112,20260113,20260113,1,600558.SH,大西洋,pullback,61.62,0.4159,6.81,6.65,6.81,6.65,stop_loss,-0.023494860499265635,-1.0,0.023494860499265677,0,0,0,0,2.18,18.88,10.88,59.16
20260112,20260113,20260113,1,600728.SH,佳都科技,breakout,62.21,0.4608,7.32,7.23,7.32,7.23,stop_loss,-0.012295081967213073,-1.0,0.012295081967213095,0,0,0,0,3.11,15.41,8.9,41.52
