signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,volume_ratio,platform_range,chip_concentration,chip_low_position
20250507,20250508,20250509,2,000059.SZ,华锦股份,pullback,60.61,0.2428,5.47,5.33,5.47,5.33,stop_loss,-0.025594149908592212,-1.0,0.025594149908592264,0,0,0,1.06,15.12,11.84,52.23
20250507,20250508,20250514,5,001300.SZ,三柏硕,breakout,63.36,0.5882,13.03,12.85,13.03,13.32,time_exit,0.0222563315425941,1.6111111111111187,0.013814274750575574,1,1,1,1.35,17.24,8.74,59.07
20250507,20250508,20250509,2,600192.SH,长城电工,pullback,57.45,0.3561,6.94,6.85,6.94,6.85,stop_loss,-0.012968299711815678,-1.0,0.012968299711815668,1,0,0,1.07,20.0,13.91,52.37
20250507,20250508,20250514,5,603668.SH,天马科技,pullback,69.16,0.4605,13.21,13.05,13.21,13.63,time_exit,0.03179409538228617,2.6249999999999973,0.012112036336109019,1,1,1,0.86,8.02,9.26,50.94
20250508,20250509,20250509,1,600099.SH,林海股份,breakout,65.33,0.3611,10.41,10.29,10.41,10.29,stop_loss,-0.011527377521613924,-1.0,0.011527377521613928,0,0,0,1.17,13.19,10.84,51.55
20250508,20250509,20250509,1,600192.SH,长城电工,pullback,64.3,0.3541,6.98,6.87,7.02,6.87,stop_loss,-0.02136752136752129,-1.0,0.02136752136752129,0,0,0,0.84,14.17,13.91,52.37
20250508,20250509,20250509,1,600501.SH,航天晨光,pullback,61.69,0.4548,20.37,19.75,20.42,19.75,stop_loss,-0.03281096963761032,-1.0,0.032810969637610266,0,0,0,1.41,18.3,10.25,62.42
20250508,20250509,20250515,5,600742.SH,富维股份,breakout,60.31,0.1799,9.76,9.64,9.84,9.87,time_exit,0.0030487804878047697,0.14999999999999733,0.020325203252032447,1,1,0,1.76,12.01,10.46,55.4
20250508,20250509,20250509,1,600822.SH,上海物贸,pullback,54.49,0.4328,10.89,10.79,10.95,10.79,stop_loss,-0.014611872146118698,-1.0,0.014611872146118735,0,0,0,0.81,22.51,11.19,66.75
20250508,20250509,20250515,5,603668.SH,天马科技,pullback,70.1,0.4588,13.31,13.13,13.31,13.71,time_exit,0.03005259203606303,2.2222222222222276,0.013523666416228378,1,1,1,0.75,8.15,9.5,48.59
20250508,20250509,20250513,3,603829.SH,洛凯股份,pullback,56.49,0.3584,15.56,15.43,15.56,15.43,stop_loss,-0.008354755784061751,-1.0,0.008354755784061746,1,1,1,0.86,18.24,10.04,51.02
20250509,20250512,20250512,1,000554.SZ,泰山石油,breakout,66.58,0.4912,6.35,6.27,6.35,6.27,stop_loss,-0.012598425196850394,-1.0,0.012598425196850406,0,0,0,1.4,9.39,7.93,60.84
20250509,20250512,20250515,4,600192.SH,长城电工,pullback,66.6,0.3521,6.92,6.8,6.92,6.8,stop_loss,-0.017341040462427793,-1.0,0.01734104046242776,1,0,0,0.78,14.17,13.91,52.37
20250509,20250512,20250516,5,603798.SH,康普顿,pullback,67.68,0.3426,9.76,9.67,9.8,9.88,time_exit,0.008163265306122547,0.6153846153846122,0.013265306122449059,1,1,1,0.74,15.06,8.95,63.2
20250509,20250512,20250513,2,603829.SH,洛凯股份,pullback,59.78,0.3564,15.62,15.45,15.78,15.45,stop_loss,-0.020912547528517123,-1.0,0.020912547528517116,0,0,0,0.67,18.24,10.04,51.02
20250512,20250513,20250513,1,000062.SZ,深圳华强,pullback,56.15,0.2848,28.8,28.0,29.02,28.0,stop_loss,-0.035148173673328675,-1.0,0.035148173673328724,0,0,0,0.92,22.29,15.61,60.19
20250512,20250513,20250519,5,001300.SZ,三柏硕,breakout,64.88,0.3439,13.33,12.93,13.59,13.42,time_exit,-0.012509197939661543,-0.2575757575757574,0.048565121412803544,0,0,0,1.07,15.94,7.85,66.12
20250512,20250513,20250514,2,001380.SZ,华纬科技,pullback,59.95,0.2398,34.4,33.82,34.78,33.82,stop_loss,-0.027602070155261615,-1.0,0.027602070155261667,0,0,0,0.77,24.77,12.55,63.51
20250512,20250513,20250513,1,600192.SH,长城电工,pullback,67.68,0.2814,6.96,6.88,7.0,6.88,stop_loss,-0.017142857142857126,-1.0,0.017142857142857158,0,0,0,0.75,14.17,13.91,52.37
20250512,20250513,20250513,1,600268.SH,国电南自,pullback,61.62,0.2693,7.86,7.78,7.9,7.78,stop_loss,-0.015189873417721489,-1.0,0.015189873417721532,0,0,0,0.93,16.37,12.14,46.52
20250512,20250513,20250515,3,600343.SH,航天动力,breakout,68.41,0.3331,12.07,11.79,12.1,11.79,stop_loss,-0.025619834710743805,-1.0,0.025619834710743843,1,0,0,1.85,9.91,8.19,45.52
20250512,20250513,20250514,2,600499.SH,科达制造,pullback,58.16,0.3532,10.02,9.71,10.08,9.71,stop_loss,-0.036706349206349076,-1.0,0.03670634920634913,0,0,0,1.35,22.26,17.6,55.11
20250512,20250513,20250519,5,600742.SH,富维股份,pullback,60.59,0.1759,9.82,9.67,9.85,9.97,time_exit,0.012182741116751439,0.6666666666666733,0.018274111675126874,1,1,0,0.97,13.83,10.63,51.9
20250512,20250513,20250513,1,603028.SH,赛福天,breakout,60.97,0.3813,7.57,7.29,7.57,7.29,stop_loss,-0.036988110964332965,-1.0,0.036988110964332924,0,0,0,1.3,23.64,13.17,38.96
20250512,20250513,20250519,5,605069.SH,正和生态,pullback,65.8,0.6784,10.23,9.94,10.24,10.35,time_exit,0.0107421875,0.3666666666666639,0.02929687500000007,1,0,0,0.91,22.47,9.42,42.11
20250513,20250514,20250514,1,603011.SH,合锻智能,breakout,59.57,0.462,11.9,11.74,12.3,11.74,stop_loss,-0.04552845528455285,-1.0,0.045528455284552884,0,0,0,1.52,21.59,9.74,49.16
