watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251209,603730.SH,岱美股份,78.06,7.96,8.55,8.57,8.14,0.9137,7.41,汽车配件
20251209,600298.SH,安琪酵母,69.22,40.52,41.87,41.95,40.8,0.8184,5.75,食品
20251209,603655.SH,朗博科技,68.43,37.5,40.08,40.16,38.17,0.9222,7.63,汽车配件
20251209,600887.SH,伊利股份,67.84,28.76,29.56,29.62,29.06,0.8036,2.89,乳制品
20251209,603518.SH,锦泓集团,62.03,10.25,10.25,10.27,9.83,0.9227,7.41,服饰
20251210,603730.SH,岱美股份,76.09,7.87,8.55,8.57,8.16,0.868,7.62,汽车配件
20251210,600776.SH,东方通信,69.32,13.84,14.05,14.08,13.57,0.85,6.21,通信设备
20251210,603799.SH,华友钴业,63.32,62.31,64.5,64.63,61.58,0.8203,7.3,小金属
20251211,600776.SH,东方通信,67.97,14.63,14.05,14.08,13.49,0.9492,5.88,通信设备
20251211,000429.SZ,粤高速Ａ,64.68,12.64,12.78,12.81,12.48,0.8555,6.57,路桥
20251212,600795.SH,国电电力,75.15,5.9,5.91,5.92,5.76,0.937,6.95,火力发电
20251212,600887.SH,伊利股份,64.03,28.7,29.56,29.62,29.09,0.8179,4.18,乳制品
20251212,600298.SH,安琪酵母,62.98,40.79,41.87,41.95,40.85,0.802,4.56,食品
20251215,603901.SH,永创智能,79.32,14.01,14.19,14.22,13.51,0.9067,6.64,专用机械
20251215,600795.SH,国电电力,78.79,5.88,5.92,5.93,5.78,0.9359,6.97,火力发电
20251215,600887.SH,伊利股份,63.68,28.83,29.56,29.62,29.1,0.8082,4.27,乳制品
20251215,600298.SH,安琪酵母,63.48,41.22,41.87,41.95,40.89,0.8431,5.0,食品
20251215,000672.SZ,上峰水泥,61.33,11.24,11.36,11.38,10.92,0.8818,5.78,水泥
20251216,600795.SH,国电电力,83.95,5.84,5.95,5.96,5.81,0.9428,4.97,火力发电
20251216,000651.SZ,格力电器,66.03,40.85,41.17,41.25,40.67,0.8363,2.5,家用电器
20251216,600993.SH,马应龙,64.62,29.25,29.44,29.5,28.8,0.8988,4.85,中成药
20251216,600298.SH,安琪酵母,63.48,40.6,41.87,41.95,40.87,0.8453,5.07,食品
20251216,601156.SH,东航物流,62.72,17.09,17.26,17.29,16.88,0.8724,6.2,仓储物流
20251217,600795.SH,国电电力,85.65,5.93,5.95,5.96,5.82,0.9269,4.89,火力发电
20251217,603901.SH,永创智能,79.22,13.42,14.19,14.22,13.57,0.9148,6.11,专用机械
20251217,600066.SH,宇通客车,76.32,34.47,34.48,34.55,33.37,0.9354,7.17,汽车整车
20251217,603040.SH,新坐标,71.52,79.75,83.79,83.96,80.1,0.9037,7.55,汽车配件
20251217,601899.SH,紫金矿业,67.37,30.87,31.95,32.01,30.75,0.8745,7.22,铜
20251217,000651.SZ,格力电器,66.49,41.1,41.17,41.25,40.66,0.8163,2.48,家用电器
20251217,600993.SH,马应龙,66.48,29.31,29.44,29.5,28.79,0.8989,4.84,中成药
20251217,601156.SH,东航物流,64.71,17.58,17.26,17.29,16.86,0.8814,6.03,仓储物流
20251217,600298.SH,安琪酵母,64.0,41.68,41.86,41.94,40.76,0.856,4.92,食品
20251217,000157.SZ,中联重科,63.94,8.45,8.73,8.75,8.51,0.8708,6.51,工程机械
20251217,605099.SH,共创草坪,63.28,37.53,38.11,38.19,36.41,0.8385,7.75,文教休闲
20251217,603313.SH,梦百合,61.85,9.58,9.64,9.66,9.33,0.8788,6.89,家居用品
20251218,600795.SH,国电电力,86.22,5.99,5.96,5.97,5.83,0.9334,5.01,火力发电
20251218,603901.SH,永创智能,82.57,13.57,14.19,14.22,13.61,0.9408,7.07,专用机械
20251218,601899.SH,紫金矿业,71.58,30.97,31.95,32.01,30.75,0.8837,5.91,铜
20251218,603040.SH,新坐标,71.01,78.73,83.79,83.96,80.16,0.8932,7.65,汽车配件
20251218,600993.SH,马应龙,67.67,29.74,29.44,29.5,28.73,0.9159,4.77,中成药
20251218,600298.SH,安琪酵母,66.73,42.14,42.15,42.23,41.02,0.89,5.55,食品
20251218,605099.SH,共创草坪,65.97,37.72,38.11,38.19,36.48,0.8546,7.71,文教休闲
20251218,603313.SH,梦百合,64.73,9.56,9.64,9.66,9.33,0.8889,6.9,家居用品
20251218,000157.SZ,中联重科,63.63,8.39,8.73,8.75,8.51,0.8525,6.08,工程机械
20251218,601156.SH,东航物流,63.09,17.86,17.58,17.62,17.14,0.9006,7.73,仓储物流
20251218,600428.SH,中远海特,60.01,7.21,7.36,7.37,7.16,0.807,5.69,水运
20251219,603901.SH,永创智能,84.1,13.58,14.19,14.22,13.63,0.9307,7.07,专用机械
20251219,600795.SH,国电电力,82.61,5.88,6.0,6.01,5.87,0.8604,5.78,火力发电
20251219,601899.SH,紫金矿业,74.04,31.12,31.95,32.01,30.84,0.8519,5.88,铜
20251219,600298.SH,安琪酵母,71.17,44.59,42.47,42.55,41.16,0.9112,5.97,食品
20251219,600993.SH,马应龙,70.45,30.12,29.99,30.05,29.3,0.8784,6.54,中成药
20251219,603040.SH,新坐标,69.92,77.9,83.79,83.96,80.22,0.8456,7.73,汽车配件
20251219,000425.SZ,徐工机械,69.54,11.22,11.44,11.46,11.07,0.8556,6.77,工程机械
20251219,000672.SZ,上峰水泥,63.54,11.13,11.51,11.53,11.1,0.817,6.83,水泥
20251222,603901.SH,永创智能,83.77,13.85,14.19,14.22,13.63,0.9207,6.93,专用机械
20251222,600795.SH,国电电力,80.24,5.87,6.03,6.04,5.89,0.8784,6.3,火力发电
20251222,601899.SH,紫金矿业,76.19,32.53,31.95,32.01,30.75,0.9244,5.63,铜
20251222,000425.SZ,徐工机械,70.2,10.92,11.44,11.46,11.08,0.8059,5.4,工程机械
20251222,600993.SH,马应龙,69.48,29.73,30.18,30.24,29.51,0.8096,7.03,中成药
