watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20250701,603679.SH,华体科技,79.92,14.08,14.38,14.41,13.87,0.8596,7.32,电气设备
20250701,600345.SH,长江通信,78.75,25.82,25.98,26.03,25.17,0.8518,7.63,通信设备
20250701,603298.SH,杭叉集团,74.17,21.27,21.45,21.49,20.66,0.9015,5.78,工程机械
20250701,600330.SH,天通股份,73.06,7.18,7.18,7.19,7.03,0.8158,5.15,专用机械
20250701,600531.SH,豫光金铅,72.76,7.93,7.93,7.95,7.67,0.8691,7.82,铅锌
20250701,605020.SH,永和股份,71.05,23.37,23.18,23.23,22.52,0.9079,6.8,化工原料
20250701,000612.SZ,焦作万方,70.93,7.91,7.8,7.82,7.59,0.8039,6.32,铝
20250701,601155.SH,新城控股,68.57,13.6,14.14,14.17,13.66,0.8326,6.18,区域地产
20250701,603738.SH,泰晶科技,68.48,14.68,14.73,14.76,14.36,0.8495,6.81,元器件
20250701,000807.SZ,云铝股份,67.87,16.58,16.37,16.4,15.82,0.9179,7.42,铝
20250701,601231.SH,环旭电子,64.4,14.55,14.73,14.76,14.27,0.8117,6.25,元器件
20250702,603679.SH,华体科技,79.65,13.98,14.38,14.41,13.9,0.8564,7.37,电气设备
20250702,603298.SH,杭叉集团,77.1,21.86,21.45,21.49,20.65,0.9238,5.4,工程机械
20250702,000682.SZ,东方电子,76.84,10.4,10.5,10.52,10.26,0.9006,4.04,电气设备
20250702,600330.SH,天通股份,75.46,7.16,7.19,7.2,7.05,0.8053,5.31,专用机械
20250702,603829.SH,洛凯股份,75.41,17.27,17.19,17.22,16.64,0.865,6.6,电气设备
20250702,605305.SH,中际联合,70.67,28.84,28.2,28.26,27.19,0.8887,6.66,工程机械
20250702,601155.SH,新城控股,70.36,13.66,14.14,14.17,13.68,0.8108,6.15,区域地产
20250702,605020.SH,永和股份,69.22,24.1,23.43,23.48,22.72,0.9494,7.63,化工原料
20250702,600036.SH,招商银行,67.86,46.9,47.88,47.98,46.97,0.8003,5.35,银行
20250703,603139.SH,康惠股份,80.4,22.61,21.86,21.9,20.8,0.9325,5.09,中成药
20250703,603829.SH,洛凯股份,77.79,17.18,17.29,17.32,16.83,0.8166,7.22,电气设备
20250703,601600.SH,中国铝业,67.26,7.18,7.2,7.21,7.04,0.8198,5.99,铝
20250703,600114.SH,东睦股份,66.29,20.84,21.02,21.06,20.23,0.8276,6.91,机械基件
20250704,600418.SH,江淮汽车,79.13,39.7,42.35,42.43,40.73,0.933,7.18,汽车整车
20250704,000682.SZ,东方电子,76.08,10.24,10.46,10.48,10.24,0.8131,3.71,电气设备
