signal_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range,vol_ma20_prev,confirm_date,confirm_time,entry_price,entry_bar_close,volume_ratio,signal_grade,position_ratio,confirm_type,day_open,day_high_at_signal,ret_close0,ret_t1,ret_t2,ret_t3
20251226,20251229,000612.SZ,焦作万方,铝,72.98,10.45,10.47,9.99,0.8864,7.74,478264.637,20251229,11:20:00,10.4709,11.05,1.0057,B,0.5,breakout,11.0,11.15,0.031429963040426445,0.05912576760354882,0.052440573398657264,0.0810914057053358
20260105,20260106,600312.SH,平高电气,电气设备,66.73,18.25,18.29,17.67,0.8106,6.06,233486.61899999995,20260106,13:15:00,18.2865,18.51,1.003,B,0.5,breakout,18.01,18.56,0.01659694310010118,0.013315834085254163,0.0308150821644384,0.038471003199081144
20260106,20260107,600312.SH,平高电气,电气设备,69.03,18.3,18.34,17.72,0.8139,6.13,242495.092,20260107,13:55:00,18.3366,18.48,1.0124,B,0.5,breakout,18.49,18.97,0.010547211587753402,0.027998647513715724,0.035633650731324185,0.039451152340128415
20260107,20260108,600312.SH,平高电气,电气设备,68.25,18.64,18.68,18.06,0.8128,7.99,248396.62449999998,20260108,14:20:00,18.6773,18.81,1.005,B,0.5,breakout,18.5,19.08,0.009246518501068168,0.016742248611951283,0.02049011366739295,0.05903958280907862
20260115,20260116,600487.SH,亨通光电,通信设备,79.7,25.39,25.44,24.31,0.9065,6.46,1333602.841,20260116,14:45:00,25.4408,25.51,1.0201,B,0.5,breakout,25.29,25.99,0.007436873054306403,0.0644319361026382,0.09194679412597084,0.09941511273230397
20260116,20260119,600487.SH,亨通光电,通信设备,78.84,25.39,25.44,24.35,0.8551,6.28,1318422.255,20260119,11:05:00,25.4408,27.46,1.0063,B,0.5,breakout,26.91,28.06,0.0644319361026382,0.09194679412597084,0.09941511273230397,0.06089431149963831
