signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,ambiguous_intrabar,volume_ratio,platform_range,chip_concentration,chip_low_position
20250805,20250806,20250806,1,603270.SH,金帝股份,pullback,64.57,0.6226,27.26,27.11,27.3,27.3,intrabar_mid,0.0,0.0,0.006959706959707006,1,1,1,1,0.96,7.18,4.6,51.66
20250819,20250820,20250821,2,001335.SZ,信凯科技,pullback,56.82,0.486,40.2,39.71,40.2,39.71,stop_loss,-0.01218905472636822,-1.0,0.012189054726368208,0,0,0,0,1.1,8.11,3.38,11.07
20251112,20251113,20251113,1,603395.SH,红四方,pullback,59.14,0.6298,36.03,35.35,36.03,35.35,stop_loss,-0.018873161254510107,-1.0,0.01887316125451012,0,0,0,0,1.8,8.92,3.05,23.9
20251113,20251114,20251118,3,603395.SH,红四方,pullback,58.13,0.6224,36.08,35.32,36.08,35.32,stop_loss,-0.021064301552106368,-1.0,0.021064301552106375,1,0,0,0,1.55,8.92,3.05,23.95
20260120,20260121,20260126,4,603004.SH,鼎龙科技,pullback,57.02,0.5353,24.9,24.64,24.9,24.9,intrabar_mid,0.0,0.0,0.010441767068273013,1,0,0,1,0.93,7.9,4.75,47.94
20260211,20260212,20260212,1,603214.SH,爱婴室,pullback,57.77,0.4573,18.54,18.4,18.54,18.4,stop_loss,-0.007551240560949357,-1.0,0.00755124056094933,0,0,0,0,0.62,8.27,4.26,41.14
