watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_price_net,entry_bar_close,fill_vs_trigger_pct,volume_ratio,vol_ma20_prev,prev_close,limit_up_price,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3,ret_close0_gross,ret_t1_gross,ret_t2_gross,ret_t3_gross
20250730,20250731,000050.SZ,深天马Ａ,元器件,79.69,9.39,9.41,9.21,14:25:00,9.41,9.422233,9.25,0.0,1.022225904573188,157514.10650000002,9.41,10.351,B,0.5,-0.022655139179852624,-0.021596260674088708,-0.016301868145268794,-0.00041869055880916495,-0.019128586609989395,-0.018065887353878818,-0.012752391073326375,0.0031880977683313994
20250730,20250731,603207.SH,小方制药,化学制药,80.19,34.18,34.25,32.64,13:55:00,34.25,34.294525,33.6807648,0.0,1.0006483411690652,58766.899,35.37,38.907000000000004,B,0.5,-0.005922694657529037,0.055461651677636725,0.12120981410298004,0.09153586468977215,-0.0023357664233576436,0.059270072992700706,0.1252554744525547,0.09547445255474463
20250731,20250801,600498.SH,烽火通信,通信设备,71.78,22.19,22.23,21.66,11:05:00,22.23,22.258899000000003,22.08,0.0,1.0290940770014534,216763.467,22.46,24.706000000000003,B,0.5,-0.008974028769347608,-0.009870479218222039,-0.003595326076101135,0.001783376617145338,-0.005398110661268607,-0.0062977957714800414,0.0,0.005398110661268607
20250731,20250801,603598.SH,引力传媒,互联网,70.09,18.72,18.76,18.15,10:05:00,18.76,18.784388000000003,18.33,0.0,1.0027920611096135,130522.573,18.91,20.801000000000002,B,0.5,-0.006782121408480446,-0.022184965514979837,-0.020060435293393963,-0.030683086401324555,-0.0031982942430704986,-0.018656716417910557,-0.016524520255863706,-0.027185501066098183
20250801,20250804,600976.SH,健民集团,中成药,60.72,42.06,42.14,41.18,10:25:00,42.37,42.425081,42.37,0.005457997152349181,1.0421099473639384,25501.147999999997,42.66,46.926,B,0.5,-0.0033601585816652735,-0.00970968093142821,-0.019586715697726076,-0.02758241050853838,0.0002360160490915142,-0.006136417276374706,-0.016049091338210975,-0.02407363700731635
20250804,20250805,001207.SZ,联科科技,化工原料,63.83,25.49,25.54,24.61,13:15:00,25.68447778,25.717867601114005,25.69434504,0.005656921691464367,1.0116365407264385,56055.705500000004,26.38,29.018,B,0.5,0.017567685077686024,0.03153353969560335,0.013300340611100303,0.04239587106509446,0.02123937362763062,0.035255621226027545,0.016956631305898417,0.046157147135891696
20250805,20250806,600630.SH,龙头股份,服饰,66.71,8.86,8.88,8.63,13:55:00,8.88,8.891544000000001,8.7502692,0.0,1.0305943493030423,126457.12649999998,8.98,9.878000000000002,B,0.5,-0.013694022095600333,-0.006961558082601016,-0.006961558082601016,0.0008929832658983727,-0.01013513513513531,-0.0033783783783785104,-0.0033783783783785104,0.0045045045045044585
20250805,20250806,600867.SH,通化东宝,生物制药,65.32,8.53,8.55,8.32,14:05:00,8.55,8.561115000000001,8.52,0.0,1.0072611336337154,220286.4705,8.59,9.449,B,0.5,-0.005926097243174722,-0.01991072424561524,-0.017579953078541877,-0.009422253993784713,-0.002339181286549863,-0.01637426900584804,-0.0140350877192984,-0.005847953216374324
20250805,20250806,603270.SH,金帝股份,机械基件,72.09,27.28,27.33,26.63,13:30:00,27.49358304,27.529324697952003,27.53325632,0.005985475301866217,1.0332151787037707,43245.590000000004,27.26,29.986000000000004,B,0.5,0.004610331108392263,-0.0022755261394646897,-0.00010104490329942983,0.0006237821754222495,0.008235265649827683,0.001324562169543908,0.0035068895843703984,0.004234332055979229
20250805,20250806,603829.SH,洛凯股份,电气设备,66.39,18.27,18.31,17.6,14:05:00,18.41,18.433933000000003,18.42,0.00546149645002747,1.0171076592748916,47840.56,18.93,20.823,B,0.5,0.00019328485136593798,-0.005219016473587246,0.03645570372855289,0.06892951167827288,0.0038022813688212143,-0.0016295491580663457,0.04019554589896779,0.07278652906029337
20250805,20250806,603912.SH,佳力图,专用机械,68.39,9.55,9.57,9.28,10:50:00,9.57,9.582441000000001,9.53,0.0,1.0144672489583986,241081.21800000002,9.42,10.362,B,0.5,-0.01608942857044482,0.009939951626104282,0.03284580619906774,0.02555757974403372,-0.012539184952978122,0.013584117032392706,0.03657262277951934,0.02925809822361547
20250806,20250807,603270.SH,金帝股份,机械基件,76.24,27.35,27.4,26.71,14:30:00,27.4,27.43562,27.25554336,0.0,1.002221421230847,45306.3555,27.72,30.492,B,0.5,0.0011321413549247872,0.0033140494000134524,0.004041352081709748,-0.003595326076101024,0.004744525547445422,0.006934306569343018,0.007664233576642365,0.0
20250806,20250807,603912.SH,佳力图,专用机械,67.63,9.55,9.57,9.27,10:25:00,9.62,9.632506,9.6,0.005224660397074032,1.0001332821069082,254599.06650000002,9.45,10.395,B,0.5,0.004690783478359606,0.027477584753126783,0.020227238892973398,0.066836605136815,0.008316008316008316,0.031185031185031242,0.023908523908523938,0.0706860706860708
20250806,20250807,603915.SH,国茂股份,机械基件,73.51,15.94,15.97,15.35,14:25:00,15.97,15.990761000000003,15.75785104,0.0,1.0032197154483211,133728.4325,16.16,17.776000000000003,B,0.5,-0.00546709440532589,-0.026056546026796523,-0.016073781604265314,-0.023560854921163665,-0.0018785222291798354,-0.02254226675015658,-0.012523481527864866,-0.020037570444583652
