rs_quantile_min,volume_confirm_ratio,min_signal_score,top_k,train_n,train_mean,train_pf,train_port_ret,train_mdd,train_sharpe,oos_n,oos_mean,oos_pf,oos_port_ret,oos_mdd,oos_sharpe,rank_score
0.8,1.2,60.0,20,59.0,0.015614607026514198,3.281250682660847,0.4361912088684714,-0.11293334649714282,5.1679768928293415,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.2,60.0,15,59.0,0.015614607026514198,3.281250682660847,0.4361912088684714,-0.11293334649714282,5.1679768928293415,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.2,56.0,20,64.0,0.015495755414513172,3.4430766954824072,0.5181945596307596,-0.10350006245621579,5.576226525643764,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.2,56.0,15,64.0,0.015495755414513172,3.4430766954824072,0.5181945596307596,-0.10350006245621579,5.576226525643764,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.05,60.0,20,59.0,0.015614607026514198,3.281250682660847,0.4361912088684714,-0.11293334649714282,5.1679768928293415,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.05,60.0,15,59.0,0.015614607026514198,3.281250682660847,0.4361912088684714,-0.11293334649714282,5.1679768928293415,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.05,56.0,20,64.0,0.015495755414513172,3.4430766954824072,0.5181945596307596,-0.10350006245621579,5.576226525643764,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.8,1.05,56.0,15,64.0,0.015495755414513172,3.4430766954824072,0.5181945596307596,-0.10350006245621579,5.576226525643764,28.0,0.02937643569141451,6.566391042751614,0.6549767315743669,-0.025728987993139163,15.730511442138992,34.74607542064574
0.78,1.2,56.0,15,74.0,0.015683637839488677,3.4108636308735854,0.580653886698216,-0.11395756840080118,6.3235166926102915,38.0,0.024980949302039805,5.280691361598249,0.6647939084260095,-0.037263372507821635,14.754523860959806,32.55236777479355
0.78,1.2,56.0,20,74.0,0.015683637839488677,3.4108636308735854,0.580653886698216,-0.11395756840080118,6.3235166926102915,38.0,0.024980949302039805,5.280691361598249,0.6647939084260095,-0.037263372507821635,14.754523860959806,32.55236777479355
0.78,1.05,56.0,20,74.0,0.015683637839488677,3.4108636308735854,0.580653886698216,-0.11395756840080118,6.3235166926102915,38.0,0.024980949302039805,5.280691361598249,0.6647939084260095,-0.037263372507821635,14.754523860959806,32.55236777479355
0.78,1.05,56.0,15,74.0,0.015683637839488677,3.4108636308735854,0.580653886698216,-0.11395756840080118,6.3235166926102915,38.0,0.024980949302039805,5.280691361598249,0.6647939084260095,-0.037263372507821635,14.754523860959806,32.55236777479355
0.78,1.2,60.0,20,69.0,0.015798879248661694,3.2743760239290594,0.49527687471879545,-0.1232808149282788,5.89986661521612,37.0,0.02488808902826617,5.152547963027223,0.6187930241142383,-0.037263372507821635,14.336221012685515,31.341725685066404
0.78,1.2,60.0,15,69.0,0.015798879248661694,3.2743760239290594,0.49527687471879545,-0.1232808149282788,5.89986661521612,37.0,0.02488808902826617,5.152547963027223,0.6187930241142383,-0.037263372507821635,14.336221012685515,31.341725685066404
0.78,1.05,60.0,15,69.0,0.015798879248661694,3.2743760239290594,0.49527687471879545,-0.1232808149282788,5.89986661521612,37.0,0.02488808902826617,5.152547963027223,0.6187930241142383,-0.037263372507821635,14.336221012685515,31.341725685066404
0.78,1.05,60.0,20,69.0,0.015798879248661694,3.2743760239290594,0.49527687471879545,-0.1232808149282788,5.89986661521612,37.0,0.02488808902826617,5.152547963027223,0.6187930241142383,-0.037263372507821635,14.336221012685515,31.341725685066404
