signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20251217,20251218,600298.SH,安琪酵母,食品,64.0,0.8560084700899947,0.11864406779661017,0.04918426103646826,41.86,41.94,41.54,40.76,A,1.39,0.06318550309966642,0.07342320654790568,0.08726752503576551,0.09773712084737607,0.05412494039103488,0.06427539720751096
20251217,20251218,600993.SH,马应龙,中成药,66.48,0.8988883006881948,0.13559322033898305,0.04844762879563295,29.44,29.5,29.21,28.79,A,1.43,0.021016949152542486,0.031153714481342076,0.0077966101694915135,0.017802122560766742,-0.017966101694915304,-0.008216364258815556
20251217,20251218,601156.SH,东航物流,仓储物流,64.71,0.8814187400741132,0.2542372881355932,0.06029579067121743,17.26,17.29,17.55,16.86,B,1.1,0.037015615962984416,0.02165242165242165,0.055523423944476624,0.03988603988603989,0.03990746096009268,0.024501424501424562
20251217,20251218,603313.SH,梦百合,家居用品,61.85,0.8787718369507675,0.1016949152542373,0.0688935281837161,9.64,9.66,9.53,9.33,B,1.19,0.013457556935817738,0.02728226652675758,0.005175983436852993,0.018887722980063026,-0.005175983436853104,0.008394543546694555
20251217,20251218,605099.SH,共创草坪,文教休闲,63.28,0.8385389094759131,0.3559322033898305,0.07753796962430047,38.11,38.19,37.4,36.41,B,1.15,-0.002356637863314859,0.018716577540107027,0.012306886619533941,0.033689839572192515,0.0010473946059177397,0.02219251336898398
20251218,20251219,600795.SH,国电电力,火力发电,86.22,0.9333685880486515,0.016666666666666666,0.05008347245409012,5.96,5.97,5.99,5.83,A,1.66,-0.0167504187604689,-0.02003338898163609,-0.01005025125628134,-0.013355592654424098,-0.00670016750418756,-0.010016694490818101
20251218,20251219,600993.SH,马应龙,中成药,67.67,0.9159175039661555,0.31666666666666665,0.047747141896435835,29.44,29.5,29.77,28.73,A,1.37,0.0077966101694915135,-0.0013436345314074005,-0.017966101694915304,-0.02687269062814912,-0.02745762711864408,-0.03627813234800126
20251218,20251219,603313.SH,梦百合,家居用品,64.73,0.8889476467477525,0.15,0.0690376569037657,9.64,9.66,9.55,9.33,B,1.04,0.005175983436852993,0.01675392670157061,-0.005175983436853104,0.006282722513088812,-0.010351966873705987,0.0010471204188482464
20251219,20251222,000672.SZ,上峰水泥,水泥,63.54,0.817028027498678,0.21666666666666667,0.0682839173405211,11.51,11.53,11.19,11.1,A,2.01,-0.0095403295750216,0.020554066130473725,0.027753686036426695,0.05898123324396787,0.038161318300086844,0.06970509383378021
20251219,20251222,600298.SH,安琪酵母,食品,71.17,0.911158117398202,0.2,0.05965463108320243,42.47,42.55,44.4,41.16,A,2.72,0.03901292596944783,-0.00427927927927918,0.03525264394829608,-0.007882882882882969,0.033137485311398374,-0.009909909909909809
