signal_date,ts_code,ret_t1,ret_t2,ret_t3
20250612,603518.SH,-0.004166666666666763,-0.03416666666666668,-0.09249999999999992
20250612,000506.SZ,0.05251396648044704,0.018994413407821265,0.021229050279329753
20250613,600259.SH,0.1438688035780844,0.06857994781960497,0.014163250093179425
20250616,603194.SH,0.043647890758351515,0.06169227017800538,0.029992684711046103
20250616,001389.SZ,0.009729347249248121,0.03714841676985681,0.042809127896692
20250617,600557.SH,-0.05602923264311821,-0.09866017052375153,-0.10292326431181498
20250617,603011.SH,-0.05427189682966138,-0.1488447071466953,-0.19505642127888223
20250618,600353.SH,-0.11960635881907644,-0.12641937925813784,-0.10673732021196058
20250618,605376.SH,-0.024499999999999966,-0.022249999999999992,-0.026249999999999885
20250619,603906.SH,-0.08033826638477792,-0.054263565891472854,0.04016913319238902
20250619,603106.SH,-0.11923847695390799,-0.07414829659318634,0.018036072144288484
20250620,601718.SH,0.022950819672131306,-0.003278688524590123,0.04590163934426239
20250620,603988.SH,-0.03629629629629627,-0.013333333333333308,-0.029259259259259207
20250623,603619.SH,-0.09969392216878015,-0.15741145605596862,-0.1359860078705728
20250624,603123.SH,0.17661290322580636,0.19758064516129026,0.25
20250625,000766.SZ,-0.025572519083969403,-0.03244274809160297,-0.03167938931297698
20250626,603823.SH,-0.010000000000000009,-0.006153846153846176,0.09307692307692306
20250626,603151.SH,-0.009675858732462683,-0.022738268021286978,-0.019835510401548184
20250627,000020.SZ,0.029538904899135243,0.02089337175792494,0.0057636887608070175
20250627,600302.SH,0.05148205928237126,0.02496099843993771,-0.007800312012480437
20250630,603032.SH,-0.02058987200890361,-0.034501947690595336,-0.02281580411797446
20250701,600095.SH,-0.03369672943508428,-0.025768087215064406,0.0307234886025769
20250701,603106.SH,-0.04056603773584899,-0.057547169811320686,-0.06603773584905659
20250702,000892.SZ,0.05021834061135366,0.04366812227074246,0.026200873362445476
20250702,601162.SH,-0.020964360587002018,0.0062893081761006275,0.018867924528302105
20250703,605389.SH,0.09997382884061756,0.06228735933001839,0.019366657942947008
20250703,000519.SZ,-0.039906103286385,-0.027699530516431925,-0.03380281690140852
20250704,605378.SH,-0.0185185185185186,-0.02314814814814814,-0.04166666666666674
20250704,603982.SH,-0.038426349496797796,-0.04574565416285448,-0.09240622140896615
20250707,600595.SH,-0.03397027600849256,-0.06581740976645423,-0.04033970276008503
20250707,603823.SH,0.013484740951029028,-0.0276792051100071,-0.019872249822569188
20250708,600967.SH,0.007369614512471534,0.0226757369614512,0.015306122448979664
