watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_bar_close,volume_ratio,vol_ma20_prev,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3
20250728,20250729,000802.SZ,北京文化,影视音像,76.4,5.15,5.16,5.01,09:40:00,5.16,5.56,1.0562943806447314,160887.9145,B,0.5,0.0852713178294573,0.18410852713178305,0.09302325581395343,0.10465116279069764
20250728,20250729,603396.SH,金辰股份,专用机械,80.33,28.16,28.22,27.46,14:05:00,28.22,29.17,1.0698137066405022,35815.5815,B,0.5,0.05598866052445084,0.010276399716513174,-0.014883061658398256,-0.005315379163713607
20250728,20250729,603520.SH,司太立,化学制药,70.23,10.68,10.7,10.31,10:05:00,10.7,10.94382002,1.0275523664886907,101739.827,B,0.5,0.058878504672897236,0.032710280373831946,0.06915887850467284,0.03925233644859816
20250729,20250730,000050.SZ,深天马Ａ,元器件,80.64,9.25,9.27,9.07,14:30:00,9.27,9.42,1.0057372934355626,157552.07749999998,B,0.5,0.015102481121898714,-0.004314994606256617,-0.003236245954692518,0.0021574973031284195
20250730,20250731,000050.SZ,深天马Ａ,元器件,79.69,9.39,9.41,9.21,14:25:00,9.41,9.25,1.022225904573188,157514.10650000002,B,0.5,-0.019128586609989395,-0.018065887353878818,-0.012752391073326375,0.0031880977683313994
20250730,20250731,603207.SH,小方制药,化学制药,80.19,34.18,34.25,32.64,13:55:00,34.25,33.6807648,1.0006483411690652,58766.899,B,0.5,-0.0023357664233576436,0.059270072992700706,0.1252554744525547,0.09547445255474463
20250731,20250801,600498.SH,烽火通信,通信设备,71.78,22.19,22.23,21.66,11:05:00,22.23,22.08,1.0290940770014534,216763.467,B,0.5,-0.005398110661268607,-0.0062977957714800414,0.0,0.005398110661268607
20250731,20250801,603598.SH,引力传媒,互联网,70.09,18.72,18.76,18.15,10:05:00,18.76,18.33,1.0027920611096135,130522.573,B,0.5,-0.0031982942430704986,-0.018656716417910557,-0.016524520255863706,-0.027185501066098183
20250801,20250804,600860.SH,京城股份,专用机械,71.79,12.89,12.92,12.43,10:50:00,12.92,13.41,1.0131649165728875,181297.237,B,0.5,0.049535603715170407,0.02786377708978316,0.03095975232198156,0.023219814241486114
20250801,20250804,600976.SH,健民集团,中成药,60.72,42.06,42.14,41.18,10:25:00,42.14,42.37,1.0421099473639384,25501.147999999997,B,0.5,0.005695301376364537,-0.0007119126720456226,-0.01067869008068345,-0.018747033697199766
20250801,20250804,601798.SH,蓝科高新,化工机械,77.82,8.48,8.5,8.24,14:25:00,8.5,8.66,1.029821452748137,124776.9695,B,0.5,0.01764705882352935,0.02941176470588225,0.028235294117647136,0.03294117647058825
20250801,20250804,603203.SH,快克智能,专用机械,62.22,26.8,26.85,26.18,13:10:00,26.85,27.35,1.0114040799455746,31666.8685,B,0.5,0.02346368715083802,0.034636871508379796,0.035381750465549366,0.04655493482309114
20250804,20250805,001207.SZ,联科科技,化工原料,63.83,25.49,25.54,24.61,13:10:00,25.54,25.69434504,1.0015929600600602,56055.705500000004,B,0.5,0.02701644479248233,0.0411119812059515,0.022709475332811424,0.05207517619420532
20250804,20250805,600855.SH,航天长峰,专用机械,67.79,14.38,14.41,13.85,10:30:00,14.41,14.82,1.0178517616952534,207008.533,B,0.5,0.04163775156141569,0.08327550312283138,0.1304649548924357,0.13879250520471897
20250804,20250805,603211.SH,晋拓股份,汽车配件,65.39,18.68,18.72,18.04,09:55:00,18.72,19.44,1.0025687361200537,73281.7585,B,0.5,0.052350427350427386,0.05715811965811968,0.05074786324786351,0.04220085470085477
20250805,20250806,600630.SH,龙头股份,服饰,66.71,8.86,8.88,8.63,13:55:00,8.88,8.7502692,1.0305943493030423,126457.12649999998,B,0.5,-0.01013513513513531,-0.0033783783783785104,-0.0033783783783785104,0.0045045045045044585
20250805,20250806,600855.SH,航天长峰,专用机械,67.88,14.76,14.79,14.2,11:15:00,14.79,15.35,1.0300176611252443,219937.00550000003,B,0.5,0.05544286680189314,0.10141987829614596,0.1095334685598377,0.15753887762001373
20250805,20250806,600867.SH,通化东宝,生物制药,65.32,8.53,8.55,8.32,14:05:00,8.55,8.52,1.0072611336337154,220286.4705,B,0.5,-0.002339181286549863,-0.01637426900584804,-0.0140350877192984,-0.005847953216374324
20250805,20250806,603270.SH,金帝股份,机械基件,72.09,27.28,27.33,26.63,13:25:00,27.33,27.50350136,1.0122188181500125,43245.590000000004,B,0.5,0.014270032930845167,0.007317965605561749,0.009513355287230185,0.010245151847786405
20250805,20250806,603829.SH,洛凯股份,电气设备,66.39,18.27,18.31,17.6,14:00:00,18.31,18.41,1.002559334589729,47840.56,B,0.5,0.00928454396504641,0.0038230475150191623,0.04587657018022928,0.07864554888039321
